POA_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
POA2000,13167,12995,26161,4754,3216,7975,2987,3463,6448,347,361,706,496,551,1046,8584,7592,16169,2547,3631,6176,5.8,7.3,6.5,65.2,58.4,61.8,61.4,54.2,57.8,1481,1359,2838,154,155,307,3427,3849,7278,1401,1452,2849,597,342,937,53,53,104,113,140,251,759,531,1292,7447,7323,14773,4007,4162,8174,2915,2775,5696,8312,8416,16723
POA2006,533,714,1240,26,27,51,158,244,398,44,80,126,48,80,131,280,436,709,169,214,390,17.1,18.3,18.5,52.5,61.1,57.2,42.8,49.2,46.4,18,14,36,0,3,3,52,57,111,7,3,15,3,9,14,3,0,3,0,0,0,7,6,14,268,355,626,186,291,475,54,32,94,400,611,1012
POA2007,4047,4419,8469,1169,835,2005,678,815,1493,90,109,198,260,283,538,2194,2042,4235,1349,1889,3235,11.9,13.9,12.7,54.2,46.2,50,47.9,39.8,43.6,444,465,901,40,51,93,1147,1395,2538,318,308,626,157,118,272,13,18,35,30,42,71,202,176,375,2013,2042,4051,1623,1957,3579,769,801,1576,2810,3155,5972
POA2008,5398,5904,11307,1900,1416,3316,745,1032,1780,116,129,252,312,353,669,3082,2937,6014,1686,2328,4019,10.1,12,11.1,57.1,49.7,53.2,51.1,43.6,47.3,668,717,1388,80,97,176,1632,1920,3550,352,378,732,252,133,387,13,19,29,57,56,115,324,205,527,2923,2753,5681,1934,2565,4498,1010,775,1793,3842,4540,8382
POA2009,5886,5738,11623,3194,2317,5510,832,1095,1923,151,213,365,201,203,408,4375,3832,8209,944,1377,2323,4.6,5.3,5,74.3,66.8,70.6,71,63.2,67.1,817,760,1583,131,145,279,1833,1824,3659,530,571,1102,433,228,663,19,38,57,79,89,171,535,352,889,4013,3925,7939,1655,1678,3329,1945,1985,3929,3581,3441,7022
POA2010,15317,11065,26380,7937,5003,12941,1865,1880,3746,313,305,612,500,332,825,10612,7517,18124,2380,2103,4475,4.7,4.4,4.6,69.3,67.9,68.7,66,65,65.6,1990,1405,3402,343,331,678,4551,3863,8412,1264,983,2243,1058,366,1429,63,55,120,185,161,354,1309,587,1898,9443,6826,16267,3632,3075,6711,4681,3125,7804,8449,6721,15170
POA2011,11545,8865,20409,5565,3905,9465,1045,1255,2295,242,225,465,318,224,542,7171,5606,12776,1485,1615,3095,4.4,4,4.2,62.1,63.2,62.6,59.4,60.7,59.9,1290,1153,2437,239,284,526,2902,2609,5511,850,782,1635,907,378,1287,54,53,109,137,147,281,1098,579,1676,6237,5207,11451,2524,2146,4666,3031,2595,5625,5761,4847,10607
POA2015,4491,4317,8814,2856,2279,5137,478,773,1251,133,155,290,147,95,242,3614,3304,6920,486,681,1162,4.1,2.9,3.5,80.5,76.5,78.5,77.2,74.3,75.8,481,619,1102,136,166,305,1405,1459,2863,404,445,847,490,224,713,29,30,53,47,74,124,568,330,897,3336,3229,6563,1090,1110,2198,1684,1577,3259,2641,2658,5297
POA2016,6711,5593,12305,3203,2280,5477,834,891,1722,167,126,293,264,170,433,4462,3463,7925,1497,1502,2991,5.9,4.9,5.5,66.5,61.9,64.4,62.6,58.9,60.9,724,654,1376,158,183,341,1891,1750,3637,517,474,993,545,256,801,38,32,65,90,97,181,665,382,1046,4675,3745,8422,1510,1415,2918,2569,1947,4514,3546,3182,6726
POA2017,11776,11088,22867,5315,3828,9134,1157,1521,2677,241,287,525,522,540,1057,7230,6167,13403,3252,3696,6954,7.2,8.8,7.9,61.4,55.6,58.6,57,50.8,53.9,1298,1409,2707,210,220,427,2870,3035,5906,918,896,1809,992,496,1486,50,64,114,149,125,277,1191,687,1881,7245,6665,13914,3678,3708,7390,2686,2420,5105,8066,7732,15798
