POA_CODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
POA2000,19,325,2049,1177,629,418,120,16,0,4754,97,772,1402,406,109,82,79,22,9,2987,8,19,54,40,17,22,14,4,0,173,6,24,72,40,13,11,0,0,0,174,130,1141,3582,1666,770,529,213,49,12,8088,3,33,99,56,22,15,3,0,0,235,21,107,93,19,10,3,0,0,0,258,24,144,188,75,40,16,4,0,0,496,158,1283,3775,1745,809,549,216,45,12,8584,288,697,670,156,102,193,249,139,56,2547,69,317,727,367,234,168,100,33,19,2035,511,2296,5172,2273,1141,908,565,216,80,13167,22,300,1583,677,386,194,47,4,0,3216,102,795,1725,501,143,115,65,11,3,3463,3,29,84,40,18,17,6,3,0,196,5,29,84,23,3,12,3,4,0,161,135,1149,3478,1243,552,337,118,19,3,7038,3,31,104,36,20,10,3,0,0,198,36,133,129,32,14,4,0,0,0,352,39,165,235,67,32,19,3,0,0,551
POA2006,0,5,10,3,0,3,0,0,0,26,66,91,0,0,0,3,0,0,0,158,12,6,3,0,0,0,0,0,0,25,7,12,0,0,0,0,0,0,0,22,83,118,11,8,0,5,0,0,0,227,0,0,0,0,0,0,0,0,0,4,25,17,0,0,0,0,0,0,0,49,27,17,3,0,0,0,0,0,0,48,114,137,14,9,0,5,0,0,0,280,75,81,11,0,0,0,0,0,0,169,19,43,3,3,0,0,0,0,0,78,210,259,26,8,3,11,3,3,0,533,0,8,3,0,4,3,0,0,0,27,112,124,0,0,0,0,0,0,0,244,17,8,0,0,0,0,0,0,0,25,33,23,3,0,0,0,0,0,0,59,159,162,13,3,8,3,0,0,0,351,0,0,0,0,0,0,0,0,0,0,47,33,0,0,0,0,0,0,0,80,47,33,0,0,0,0,0,0,0,80
POA2007,3,86,548,296,144,66,17,0,0,1169,29,203,302,74,26,28,12,0,0,678,7,5,16,3,4,0,0,0,0,38,0,20,14,5,3,0,0,0,0,50,44,314,887,383,182,91,38,3,0,1934,0,24,36,13,7,3,0,0,0,81,25,98,42,7,3,0,0,0,0,174,25,117,83,21,9,3,0,0,0,260,61,435,963,404,193,95,35,3,0,2194,186,625,294,52,29,39,70,40,15,1349,28,128,197,75,41,19,20,8,0,511,276,1189,1454,530,261,153,129,49,14,4047,8,80,444,168,79,43,10,0,0,835,65,233,322,118,44,24,6,0,0,815,0,19,22,20,0,0,0,0,0,63,5,13,13,4,3,0,0,0,0,42,83,350,804,312,126,72,14,0,0,1760,0,13,20,7,0,0,0,0,0,48,42,124,50,10,3,0,0,0,0,238,42,141,68,21,3,0,0,0,0,283
POA2008,13,162,953,416,218,115,23,0,0,1900,42,224,325,63,38,27,22,4,0,745,3,14,20,10,4,3,0,0,0,56,3,17,24,12,5,3,0,0,0,59,57,412,1320,502,271,143,43,5,0,2762,3,31,49,26,10,10,0,0,0,131,23,97,45,3,4,4,0,0,0,189,26,128,98,27,18,17,3,0,0,312,88,538,1421,531,284,164,48,4,0,3082,256,766,385,50,42,68,74,34,10,1686,44,143,245,78,48,36,30,7,3,631,389,1456,2055,665,375,268,151,41,11,5398,12,169,793,236,140,66,11,0,0,1416,81,352,382,117,58,32,9,0,0,1032,7,16,38,19,3,3,0,0,0,85,0,11,22,0,0,3,3,0,0,47,97,549,1234,372,202,103,23,0,0,2584,0,21,37,15,8,4,0,0,0,81,41,159,59,5,3,3,0,0,0,274,43,177,97,17,10,8,0,0,0,353
POA2009,5,186,1300,891,449,270,90,8,0,3194,33,146,326,115,66,69,69,8,0,832,3,7,36,24,15,13,3,0,0,90,3,7,24,12,0,4,0,0,0,60,38,347,1683,1039,526,355,159,16,3,4174,5,8,32,22,29,17,0,0,0,118,13,18,26,6,10,3,4,0,0,83,17,32,61,31,34,23,5,0,0,201,60,379,1748,1070,560,374,159,21,3,4375,65,130,151,61,70,109,222,108,19,944,8,58,188,112,81,63,33,11,4,568,137,566,2085,1248,710,556,417,137,30,5886,6,187,994,576,302,210,40,3,4,2317,40,161,398,182,123,122,59,6,0,1095,3,8,49,44,17,11,8,0,0,155,0,13,24,9,8,7,3,0,0,63,47,377,1473,813,445,357,106,8,3,3627,0,10,43,25,17,5,0,0,0,91,10,24,42,14,18,3,0,0,0,112,8,34,83,40,30,9,0,0,0,203
POA2010,11,385,3384,2137,1255,625,124,18,0,7937,26,291,694,325,249,172,95,18,0,1865,0,15,63,47,36,16,4,3,0,182,0,10,57,31,21,5,0,0,0,130,44,695,4202,2532,1560,819,223,30,0,10115,0,17,80,85,85,46,7,0,0,325,9,37,54,25,19,13,8,0,0,174,15,55,134,116,109,60,13,0,0,500,54,754,4345,2648,1667,880,230,32,4,10612,113,158,349,223,320,380,470,279,91,2380,45,180,747,511,360,255,154,67,24,2333,210,1081,5435,3380,2342,1513,850,381,119,15317,15,411,2582,1090,555,307,48,4,0,5003,51,274,749,335,211,164,74,13,3,1880,0,15,85,64,19,12,7,0,0,201,3,19,52,20,8,3,0,0,0,109,64,714,3464,1504,793,493,126,12,3,7183,3,17,66,31,21,17,3,0,0,163,15,39,64,21,15,11,6,0,0,167,19,50,134,52,35,30,8,0,0,332
POA2011,43,363,2323,1358,840,488,147,10,0,5565,14,105,305,175,128,175,95,32,7,1045,3,11,42,37,14,20,4,3,0,134,3,9,50,14,11,7,7,0,0,109,62,491,2720,1586,990,689,257,51,12,6847,0,19,56,65,53,35,4,0,0,232,3,9,23,19,5,18,9,3,0,86,4,35,79,80,59,50,11,3,0,318,69,523,2807,1667,1053,741,264,54,12,7171,55,75,129,120,192,239,391,206,85,1485,98,529,1093,436,303,183,112,73,57,2888,220,1123,4028,2221,1544,1163,773,328,150,11545,31,264,1804,857,531,338,81,7,0,3905,27,158,376,226,138,207,105,17,8,1255,3,3,75,43,23,15,3,3,0,168,0,7,21,14,9,3,3,0,0,60,62,425,2278,1135,694,562,194,25,6,5383,0,15,42,20,33,15,0,0,0,124,3,21,22,17,16,11,8,0,0,102,5,39,64,40,43,25,12,0,0,224
POA2015,12,162,1184,803,450,220,30,0,0,2856,18,76,151,78,76,62,13,6,0,478,0,8,24,14,18,8,3,0,0,79,0,3,34,10,7,3,0,0,0,55,31,243,1392,906,552,297,47,4,0,3468,0,10,24,26,24,15,0,0,0,108,3,12,12,3,4,3,0,0,0,40,3,22,38,35,29,16,0,0,0,147,32,267,1428,934,579,315,53,4,0,3614,62,52,61,44,43,62,93,50,11,486,10,32,152,101,60,25,9,10,0,397,103,351,1641,1074,684,405,156,62,11,4491,4,171,1081,546,325,132,20,4,0,2279,31,98,231,199,100,80,28,0,0,773,0,6,57,41,8,8,3,0,0,117,0,6,13,8,5,3,0,0,0,34,39,278,1382,783,440,219,56,5,0,3207,0,4,18,14,3,6,0,0,0,50,4,11,11,12,5,3,0,0,0,43,3,17,29,20,12,9,0,0,0,95
POA2016,0,173,1333,806,574,261,47,0,0,3203,19,124,286,136,122,102,33,5,0,834,0,10,22,27,16,9,3,0,0,82,0,5,41,16,8,4,6,0,0,78,19,319,1680,985,719,375,84,7,0,4198,3,6,39,33,35,32,4,0,0,154,10,33,21,20,13,17,9,0,0,110,7,40,59,50,45,50,12,0,0,264,32,352,1740,1038,763,423,98,7,0,4462,61,142,144,118,207,256,292,197,69,1497,17,70,201,139,117,93,63,37,20,755,117,562,2095,1302,1090,770,449,244,84,6711,6,192,1196,416,280,149,33,3,0,2280,31,157,306,175,107,82,20,0,0,891,0,3,40,28,7,3,0,0,0,94,0,8,16,9,5,0,0,0,0,37,45,365,1557,637,393,243,53,6,0,3295,0,6,23,13,16,5,0,0,0,69,8,23,26,13,17,15,4,0,0,97,14,30,49,23,33,15,4,0,0,170
POA2017,9,311,2791,1351,581,212,50,0,0,5315,52,236,480,160,117,57,47,8,0,1157,3,11,60,36,16,11,3,0,0,142,5,9,61,11,9,6,3,0,0,96,71,564,3390,1560,727,289,100,13,0,6712,3,27,104,50,36,31,5,4,0,260,38,112,56,12,7,18,9,0,0,258,43,142,160,62,47,52,14,4,0,522,113,703,3550,1627,774,339,110,13,0,7230,546,931,435,139,186,309,424,243,44,3252,70,158,450,196,128,110,101,59,14,1284,726,1797,4437,1963,1089,755,638,316,53,11776,7,357,2209,785,305,134,21,3,0,3828,58,327,597,248,123,121,41,4,0,1521,0,21,109,40,15,10,3,0,0,201,3,7,47,13,5,10,0,0,0,89,65,717,2964,1082,453,274,58,6,0,5626,0,45,91,28,23,17,0,0,0,206,52,152,74,24,20,14,0,0,0,334,52,193,167,52,46,27,0,0,0,540
