POA_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA2000,174,1316,3709,1306,585,355,125,19,3,7592,287,864,1041,311,252,314,340,162,58,3631,57,320,748,262,162,102,83,27,13,1775,522,2497,5504,1879,1003,763,548,213,74,12995,42,627,3640,1854,1018,607,165,21,3,7975,201,1565,3128,910,250,203,142,36,7,6448,10,49,141,82,30,30,19,5,0,371,15,49,156,65,23,16,3,4,0,331,266,2291,7066,2906,1321,867,326,65,12,15127,8,65,206,88,39,30,4,0,0,441,54,237,218,51,30,10,0,0,0,606,60,301,425,145,66,37,10,0,0,1046,332,2597,7485,3050,1394,898,337,66,12,16169,574,1553,1712,469,351,508,585,300,115,6176,126,634,1475,634,400,267,189,61,32,3817,1038,4788,10675,4151,2142,1674,1108,428,159,26161
POA2006,207,199,13,3,8,3,0,0,0,436,110,90,13,3,0,0,0,0,0,214,20,32,4,0,0,0,0,0,0,64,340,320,25,4,9,3,0,0,0,714,3,8,10,5,11,8,4,0,0,51,177,216,0,3,0,3,0,0,0,398,25,13,3,0,0,0,0,0,0,46,39,41,3,0,0,0,0,0,0,84,247,284,22,7,11,9,4,0,0,580,0,0,0,0,0,0,0,0,0,4,75,51,0,0,0,0,0,0,0,130,78,51,3,0,0,0,0,0,0,131,319,332,22,9,11,9,4,0,0,709,188,171,23,3,0,0,0,0,0,390,48,78,8,3,3,0,0,0,0,142,554,582,56,16,12,12,6,3,0,1240
POA2007,124,489,871,328,136,71,21,0,0,2042,263,920,347,77,65,82,63,56,23,1889,34,139,171,67,21,22,14,8,3,488,425,1545,1392,469,219,176,90,69,31,4419,15,173,993,460,224,112,25,0,0,2005,92,439,619,199,74,52,18,0,0,1493,7,24,43,25,7,3,0,0,0,108,10,35,32,7,5,0,0,0,0,89,122,663,1684,690,307,167,52,3,0,3694,0,39,57,24,7,3,0,0,0,129,66,225,97,22,5,0,0,0,0,411,66,256,151,40,11,6,0,0,0,538,194,921,1842,732,325,171,56,3,0,4235,450,1542,642,124,93,123,133,94,34,3235,61,270,365,137,64,41,36,16,4,998,700,2734,2847,994,479,333,219,113,42,8469
POA2008,144,722,1332,389,210,116,23,0,0,2937,393,1220,408,72,56,67,80,27,13,2328,53,219,235,51,38,26,12,4,3,637,584,2161,1978,519,304,203,111,35,13,5904,25,334,1740,649,360,181,35,0,0,3316,126,579,712,182,99,62,27,4,0,1780,14,28,59,26,12,8,0,0,0,147,0,25,46,10,5,5,4,0,0,104,157,963,2560,871,474,251,67,5,0,5347,4,46,83,33,18,15,0,0,0,206,69,250,110,9,10,12,0,0,0,460,72,300,194,50,29,26,4,0,0,669,227,1263,2752,918,500,276,67,6,0,6014,644,1988,797,123,103,136,156,60,16,4019,95,360,482,132,86,64,41,11,3,1270,972,3610,4027,1177,680,473,262,75,20,11307
POA2009,55,407,1557,852,478,368,112,9,3,3832,76,126,265,174,127,232,246,104,27,1377,13,58,189,78,57,75,37,26,4,532,142,591,2004,1107,659,670,396,142,37,5738,10,376,2296,1464,747,475,123,11,3,5510,67,307,723,293,189,195,126,22,3,1923,3,18,86,75,31,25,15,0,0,246,3,22,54,17,9,9,3,0,0,119,85,724,3160,1847,971,711,267,30,8,7799,5,15,70,50,45,25,3,0,0,215,18,43,69,25,21,10,6,0,0,197,27,64,142,74,64,30,8,3,0,408,113,784,3301,1924,1039,740,274,28,8,8209,145,253,417,238,193,339,468,219,50,2323,21,120,376,193,140,134,68,34,11,1093,282,1155,4087,2353,1371,1218,808,279,62,11623
POA2010,88,767,3594,1556,825,526,140,12,3,7517,115,178,331,197,203,266,381,287,150,2103,34,130,573,283,159,130,72,43,21,1448,242,1078,4498,2038,1183,921,593,342,177,11065,24,793,5969,3226,1813,932,167,21,0,12941,79,557,1450,663,454,342,172,29,3,3746,3,33,148,105,48,29,14,3,0,379,4,33,112,43,30,12,0,0,0,233,109,1415,7672,4041,2346,1313,353,47,3,17296,7,28,151,118,105,65,6,0,0,486,26,76,122,48,34,25,10,0,0,341,29,104,268,168,142,93,20,0,0,825,138,1520,7935,4204,2490,1410,368,46,8,18124,227,328,677,413,521,642,848,570,245,4475,81,311,1316,790,517,382,224,110,47,3781,447,2159,9931,5415,3528,2435,1444,731,294,26380
POA2011,62,466,2342,1179,741,586,204,29,6,5606,62,71,146,130,149,249,387,256,155,1615,70,241,516,210,153,155,99,81,119,1647,199,773,3005,1523,1043,987,692,363,282,8865,69,624,4122,2211,1368,825,225,17,4,9465,41,263,680,402,268,382,200,46,12,2295,6,21,114,74,33,30,14,5,0,299,0,11,75,35,16,11,11,0,0,170,121,917,5002,2720,1690,1252,450,74,17,12233,0,36,103,85,85,46,3,0,0,354,4,30,45,36,27,22,13,5,0,192,8,69,149,119,106,73,15,6,0,542,128,982,5148,2841,1797,1318,464,76,17,12776,118,144,274,250,334,492,785,459,237,3095,169,769,1606,651,458,337,213,154,179,4536,417,1900,7026,3737,2591,2151,1462,690,428,20409
POA2015,43,295,1413,809,454,227,56,5,0,3304,66,59,111,86,65,83,130,58,22,681,8,38,124,73,43,24,12,11,3,336,111,395,1652,968,555,339,197,71,28,4317,19,328,2268,1344,779,352,51,3,0,5137,48,180,383,274,175,142,45,8,0,1251,0,10,83,53,26,15,3,0,0,198,0,6,49,14,9,6,0,0,0,91,66,527,2777,1693,988,516,99,15,0,6680,0,13,46,42,30,20,0,0,0,157,6,28,21,10,15,9,0,0,0,84,10,41,70,53,40,30,0,0,0,242,78,560,2846,1746,1028,542,102,15,0,6920,125,111,173,129,107,143,223,108,28,1162,19,74,276,167,102,50,27,18,3,727,219,748,3294,2046,1244,740,351,139,36,8814
POA2016,56,395,1605,657,424,259,56,8,0,3463,81,160,153,121,130,212,297,272,76,1502,19,55,218,90,62,62,52,55,16,631,159,606,1973,870,621,537,407,329,88,5593,12,365,2528,1225,847,415,80,7,0,5477,54,283,591,318,229,188,56,7,0,1722,3,19,64,57,21,12,5,0,0,178,0,12,53,23,12,6,3,0,0,115,65,682,3240,1619,1112,620,142,15,0,7492,3,12,62,49,51,36,4,0,0,223,20,52,43,31,29,28,11,0,0,206,24,67,106,76,76,67,10,0,0,433,89,746,3341,1699,1187,688,153,16,0,7925,146,298,302,243,339,467,592,469,141,2991,42,121,419,231,180,156,113,92,32,1386,274,1171,4065,2174,1703,1309,855,576,177,12305
POA2017,119,915,3130,1129,493,304,64,6,0,6167,584,956,595,225,267,365,388,251,71,3696,79,189,404,155,111,121,83,57,24,1226,781,2057,4137,1514,879,786,532,319,96,11088,20,671,5002,2139,893,348,67,3,0,9134,108,561,1079,408,244,183,81,16,0,2677,4,39,170,79,31,17,3,0,0,343,10,17,104,25,15,16,3,0,0,184,142,1286,6356,2641,1178,562,162,22,0,12344,3,71,199,76,65,53,5,4,0,462,92,265,134,38,34,33,5,0,0,592,92,337,331,109,91,82,13,4,0,1057,233,1620,6680,2756,1272,641,174,23,0,13403,1126,1882,1030,371,453,673,807,492,116,6954,144,349,860,350,236,229,187,117,34,2512,1509,3848,8569,3474,1964,1545,1170,630,153,22867
