POA_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
POA2000,714,331,203,124,39,12,2838,12,108,71,43,43,24,4,0,307,1031,3593,1311,525,428,254,101,23,7278,659,1201,445,243,130,113,48,19,2849,201,340,153,90,70,55,15,13,937,27,34,17,10,13,7,0,0,104,35,85,30,21,34,28,12,0,251,265,460,197,131,123,87,21,14,1292,85,112,51,24,22,14,3,3,296,945,1664,700,441,315,201,81,35,4388,3108,8446,3491,1730,1265,816,295,104,19243
POA2006,3,5,11,0,0,0,36,3,0,0,0,0,0,0,0,3,77,29,3,5,3,0,0,0,111,15,3,0,0,0,0,0,0,15,6,3,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,125,8,3,3,0,3,0,0,153,233,51,18,8,12,6,3,0,330
POA2007,184,79,47,16,3,0,901,9,38,20,10,4,6,0,0,93,988,1024,331,93,61,31,9,3,2538,194,240,97,54,24,17,4,0,626,63,94,50,29,22,15,7,0,272,14,8,6,0,3,3,4,0,35,17,26,15,3,10,3,0,0,71,97,125,64,38,27,17,14,0,375,29,29,6,3,7,0,0,0,73,387,382,143,79,45,36,19,5,1103,1766,2347,850,352,216,128,51,13,5719
POA2008,252,122,76,42,4,0,1388,18,78,27,25,19,10,0,0,176,1225,1638,395,146,87,49,10,3,3550,216,255,124,64,52,12,3,0,732,105,140,36,48,33,15,6,0,387,9,6,3,0,0,0,0,0,29,30,31,20,16,12,7,3,0,115,142,175,61,66,50,23,13,3,527,42,24,9,15,7,9,0,0,107,525,506,141,91,67,44,14,8,1403,2259,3467,1019,535,356,189,43,9,7874
POA2009,450,193,175,100,16,4,1583,3,80,81,42,47,23,6,0,279,373,1608,815,364,271,168,51,4,3659,96,378,246,130,124,87,33,3,1102,71,200,117,125,83,51,9,4,663,8,17,4,9,7,9,4,0,57,8,37,31,33,20,32,9,0,171,87,260,158,160,107,95,14,4,889,16,47,36,21,5,18,0,0,136,172,430,216,167,160,93,48,13,1294,767,3416,2000,1079,899,585,171,33,8945
POA2010,877,514,320,160,38,3,3402,16,245,162,134,76,31,10,0,678,711,4147,1816,871,514,249,82,19,8412,173,759,554,338,227,111,52,18,2243,140,454,259,258,161,100,40,21,1429,17,38,22,23,12,3,0,0,120,18,77,70,66,61,30,16,14,354,180,567,353,342,234,135,61,30,1898,10,82,46,36,30,21,14,4,250,425,1429,855,568,428,276,150,56,4180,1577,8665,4663,2802,1831,981,409,133,21064
POA2011,617,372,292,156,43,22,2437,4,137,120,105,104,46,11,3,526,329,2434,1169,625,495,296,111,56,5511,102,503,349,240,195,160,68,26,1635,184,446,204,186,141,75,35,11,1287,25,26,15,19,17,8,0,0,109,9,51,52,55,40,44,12,4,281,219,528,268,263,203,126,48,14,1676,4,47,33,23,31,20,12,3,171,949,1660,684,489,371,253,178,195,4776,1645,6225,3234,2110,1680,1059,468,319,16738
POA2015,320,177,94,36,4,0,1102,6,112,77,44,48,12,5,0,305,258,1356,709,306,159,65,12,0,2863,53,322,234,139,67,28,9,3,847,74,271,138,119,69,29,9,0,713,5,15,25,8,3,0,0,0,53,3,38,23,22,22,7,3,0,124,83,327,188,149,94,36,13,0,897,0,15,14,10,3,7,3,0,62,94,303,183,116,56,27,23,12,815,511,2896,1712,944,526,217,69,13,6890
POA2016,350,191,136,57,13,5,1376,7,117,74,69,42,30,5,0,341,388,1713,715,389,240,116,61,14,3637,66,303,201,179,117,65,48,6,993,53,223,140,156,116,64,35,7,801,9,15,12,19,8,4,3,0,65,9,41,26,44,34,12,11,4,181,72,281,184,223,150,79,46,10,1046,14,25,16,18,16,16,7,0,109,183,457,260,206,195,145,127,46,1620,758,3513,1800,1275,901,508,299,80,9131
POA2017,607,189,107,45,20,3,2707,30,184,123,51,30,14,0,0,427,949,3153,1025,349,221,138,62,8,5906,277,649,383,218,143,79,49,4,1809,199,587,259,190,110,96,43,3,1486,23,29,22,10,13,6,0,0,114,44,64,40,57,36,29,12,0,277,263,682,323,262,157,129,54,9,1881,55,75,35,20,21,16,12,5,236,604,934,389,274,295,243,170,46,2942,2305,7287,2886,1353,975,666,372,74,15910
