POA_CODE_2016,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
POA2000,31,96,45,28,31,25,10,7,261,80,419,221,52,15,6,0,0,802,93,398,182,96,88,57,16,8,940,20,72,43,20,31,16,9,10,212,3,18,11,4,8,6,3,0,54,14,83,51,49,50,43,18,6,306,6,29,14,13,20,8,4,0,99,420,1296,539,237,171,95,31,5,2791,87,309,169,113,100,73,32,7,887,50,151,57,22,11,9,3,0,303,104,257,89,40,11,7,0,3,502,46,30,15,3,0,0,0,0,101,9,38,19,19,6,3,0,4,100,454,828,414,254,184,102,33,20,2294,1409,4037,1883,938,722,442,161,67,9664,34,121,32,24,10,12,0,0,239,35,174,81,27,8,0,0,0,326,26,123,31,20,13,3,3,0,227,19,60,20,7,4,0,3,0,112,7,8,5,4,0,0,0,0,27,43,198,59,58,59,53,22,5,501,33,105,37,42,44,42,8,7,320,614,1652
POA2006,19,7,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,3,5,5,3,0,0,0,0,0,16,10,5,3,0,6,0,0,0,16,8,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,3,3,0,0,0,0,0,80,116,24,8,3,11,3,3,0,175,16,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,7,3,5
POA2007,41,53,18,9,3,0,0,0,116,44,123,61,17,3,3,0,0,255,126,175,44,24,7,16,3,0,398,10,33,13,8,7,8,0,0,68,3,9,3,0,0,0,0,0,15,3,27,12,3,3,3,0,0,50,4,15,3,8,11,4,3,0,45,205,315,108,44,21,5,0,0,702,34,89,38,25,10,13,3,0,215,45,62,32,13,6,0,0,0,155,15,54,12,8,3,0,0,0,89,14,3,0,0,0,0,0,0,24,14,6,7,3,7,0,3,0,37,173,206,88,44,21,30,6,0,568,729,1172,433,195,109,83,26,3,2741,39,44,18,5,11,0,0,0,114,19,44,15,5,4,0,0,0,91,49,52,10,5,3,0,0,0,124,17,33,8,3,0,0,0,0,57,3,10,0,0,0,0,0,0,15,21,76,27,7,6,3,3,0,151,14,23,20,10,7,7,4,0,78,414,416
POA2008,62,106,33,8,5,6,0,0,215,37,127,60,15,6,0,0,0,246,111,225,58,27,28,22,5,0,474,17,67,28,14,9,5,0,0,148,3,7,3,0,3,0,0,0,16,16,69,16,16,14,6,0,0,132,3,17,6,5,5,3,0,0,49,241,411,124,60,36,6,0,0,890,55,194,73,32,35,13,3,0,409,49,181,58,33,9,0,0,0,338,21,46,17,12,4,3,0,0,106,23,0,0,3,0,0,0,0,29,12,19,10,4,5,0,0,0,59,211,267,90,51,38,29,9,3,697,866,1735,570,291,196,114,28,10,3805,63,72,20,17,3,3,0,0,185,24,30,14,3,4,0,0,0,73,45,66,10,11,3,5,0,0,141,27,47,8,7,4,0,0,0,91,11,14,5,0,4,0,0,0,32,34,134,28,10,5,9,0,0,227,15,65,21,14,16,13,0,0,143,521,514
POA2009,11,52,37,19,26,17,7,0,161,31,227,142,44,14,6,3,0,454,44,218,120,95,71,56,11,4,616,12,58,39,23,17,25,5,0,170,3,8,11,3,6,0,3,0,27,0,40,35,12,14,30,7,0,139,4,8,10,13,17,14,5,0,73,91,536,316,146,107,85,14,0,1308,24,157,134,67,66,51,15,0,508,17,71,45,22,9,3,3,0,176,29,113,44,22,14,7,0,0,230,6,0,0,4,3,0,0,0,14,7,22,16,8,6,0,0,0,51,87,216,119,90,74,43,18,5,652,368,1710,1062,568,427,326,92,20,4569,14,55,28,20,16,8,5,0,142,7,62,47,24,7,0,0,0,145,10,50,16,11,9,3,5,0,113,9,28,16,10,3,8,0,0,71,0,4,6,0,0,0,0,0,10,17,99,64,56,56,35,12,0,349,3,46,31,22,49,46,12,0,210,116,662
POA2010,21,146,89,75,43,20,9,0,411,36,251,176,92,16,4,0,0,590,61,401,173,126,108,71,33,16,990,18,210,98,102,63,36,16,3,543,0,18,16,21,12,6,7,0,77,13,194,129,105,71,35,13,3,580,0,73,45,52,54,32,14,4,271,176,1190,733,366,162,68,23,9,2709,66,644,375,282,191,102,29,7,1696,78,476,291,145,68,13,11,0,1076,45,171,116,79,28,16,3,0,459,6,6,0,0,8,0,0,0,22,5,43,51,37,22,7,0,0,167,237,831,554,388,276,175,75,25,2561,773,4648,2856,1874,1117,592,233,68,12156,27,113,48,18,9,6,3,0,225,9,61,55,17,10,0,0,0,152,28,77,17,22,13,10,13,0,167,12,95,43,25,18,5,3,0,203,0,18,6,6,3,0,0,0,32,34,277,130,80,64,49,26,4,669,11,105,68,30,74,42,28,13,370,192,1093
POA2011,11,79,45,36,16,17,5,3,211,16,135,110,40,17,4,0,0,327,102,319,150,95,94,60,39,11,860,11,119,65,68,41,29,14,3,348,4,21,15,10,9,8,3,0,67,8,87,66,53,61,36,17,8,343,3,34,31,26,57,35,4,4,192,72,755,424,246,136,84,22,9,1748,41,405,254,205,168,121,37,19,1255,22,270,167,88,59,22,11,0,647,40,119,74,57,28,5,8,0,324,0,6,3,0,0,0,0,0,8,9,50,31,25,21,11,4,3,145,635,1124,464,324,201,124,76,53,2994,971,3519,1901,1271,901,554,245,114,9475,18,69,33,21,8,10,3,3,165,5,36,21,10,6,3,0,0,81,10,59,33,12,8,5,0,3,133,4,76,36,19,16,6,0,0,166,0,10,3,6,3,0,0,0,23,37,173,96,67,79,63,26,18,559,3,57,28,36,74,70,19,7,289,113,679
POA2015,14,73,34,21,11,0,0,0,158,14,98,86,26,14,0,0,0,232,28,191,96,48,40,18,8,0,434,10,66,54,37,12,11,4,0,198,0,11,13,9,8,0,0,0,37,4,47,33,18,12,3,0,0,121,0,20,30,11,16,7,0,0,98,41,332,204,105,55,19,0,0,762,29,170,96,63,35,16,4,0,424,32,169,87,43,10,6,0,0,344,8,35,31,31,13,4,0,0,123,0,0,0,0,0,0,0,0,0,3,19,21,12,9,0,0,0,63,45,176,105,70,31,12,10,0,445,237,1402,890,501,277,102,38,3,3456,11,66,24,8,12,0,0,0,128,3,26,25,8,5,0,0,0,66,4,47,17,9,4,5,0,0,79,4,42,16,13,0,3,0,0,77,0,11,8,0,0,3,0,0,25,19,125,72,51,22,11,0,0,299,5,59,42,31,40,21,0,0,199,56,403
POA2016,14,60,50,32,14,13,5,0,185,16,111,76,23,9,4,0,0,246,26,197,89,89,76,37,31,7,544,5,75,63,45,26,20,9,3,246,3,14,13,5,3,4,0,0,44,6,73,46,51,36,6,5,0,225,3,40,19,45,31,10,3,0,151,70,382,202,131,60,30,15,0,891,43,248,133,117,102,39,9,0,699,47,227,126,72,38,23,7,0,536,9,67,46,30,17,12,0,0,182,4,4,0,0,0,0,3,0,10,3,24,23,5,17,5,3,0,81,103,227,163,137,109,74,50,18,883,351,1753,1060,783,532,271,136,38,4919,27,69,32,3,7,4,6,0,151,0,21,20,12,7,3,0,0,62,9,44,15,19,8,12,22,0,123,6,64,12,8,3,0,0,0,98,3,12,13,3,0,3,0,0,30,17,164,49,35,31,19,11,3,336,7,65,31,37,40,34,11,3,234,116,383
POA2017,41,126,59,24,15,18,9,0,293,39,312,146,32,14,3,0,0,544,127,533,150,92,58,74,46,9,1095,21,207,78,37,30,28,14,0,417,3,17,13,8,8,0,3,0,51,20,139,76,38,17,22,3,0,308,10,37,30,20,25,18,3,0,151,236,1057,440,181,80,49,9,0,2047,85,327,159,69,50,32,13,0,731,57,253,127,55,27,9,0,0,526,24,127,64,47,14,14,0,0,292,42,13,0,3,4,0,3,0,58,17,41,23,15,11,0,4,0,119,261,494,226,146,149,120,74,18,1483,985,3692,1586,766,491,380,188,24,8120,41,107,40,19,9,9,6,0,238,10,60,35,15,3,0,0,0,130,47,115,33,23,19,21,22,0,281,33,93,42,9,5,0,0,0,182,8,13,10,0,3,0,0,0,38,35,279,106,42,45,27,23,3,553,33,132,49,35,32,27,7,0,304,445,1295
