POA_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA2000,1265,816,295,104,19243
POA2006,12,6,3,0,330
POA2007,216,128,51,13,5719
POA2008,356,189,43,9,7874
POA2009,899,585,171,33,8945
POA2010,1831,981,409,133,21064
POA2011,1680,1059,468,319,16738
POA2015,526,217,69,13,6890
POA2016,901,508,299,80,9131
POA2017,975,666,372,74,15910
POA2018,849,506,277,78,8752
POA2019,645,310,183,120,5433
POA2020,654,266,148,36,8209
POA2021,1161,918,352,118,10719
POA2022,898,649,408,166,8220
POA2023,965,763,272,103,6552
POA2024,834,560,293,277,6891
POA2025,659,632,338,170,4996
POA2026,1772,1222,602,262,21909
POA2027,806,809,429,253,5669
POA2028,410,406,197,91,3182
POA2029,735,676,340,170,6079
POA2030,1424,903,413,214,7875
POA2031,2416,1447,704,474,22232
POA2032,870,526,267,115,9188
POA2033,600,447,239,113,6987
POA2034,1492,915,405,177,13231
POA2035,2413,1509,816,370,18920
POA2036,2184,1528,722,368,16018
POA2037,1279,873,288,116,10771
POA2038,810,469,142,37,6063
POA2039,780,471,102,28,5665
POA2040,1603,838,282,115,12811
POA2041,1639,1202,352,81,10217
POA2042,1157,482,182,46,13057
POA2043,471,174,50,10,5709
POA2044,470,172,77,27,4396
POA2045,605,274,117,60,3227
POA2046,2186,1295,588,322,14709
POA2047,1021,773,297,198,7387
POA2048,498,300,110,33,5108
POA2049,852,420,148,40,7077
POA2050,479,244,78,22,6412
POA2052,21,7,3,0,1192
POA2060,1272,1010,421,141,10219
POA2061,691,547,258,67,4480
POA2062,606,430,159,49,4546
POA2063,623,456,210,130,3607
POA2064,658,383,176,77,5852
POA2065,2322,1577,664,255,20733
POA2066,2553,1672,790,408,19084
POA2067,1690,1146,593,285,15278
POA2068,1475,886,384,212,9243
POA2069,1363,931,477,244,8249
POA2070,1303,860,499,213,7691
POA2071,1250,863,485,294,7730
POA2072,777,497,255,215,4664
POA2073,1531,1065,473,219,9207
POA2074,2046,1641,1167,801,12979
POA2075,1839,1472,944,370,11560
POA2076,2311,1593,1026,549,13951
POA2077,2715,1747,876,405,21601
POA2079,756,299,130,45,3852
POA2080,170,102,31,18,913
POA2081,496,288,100,25,2858
POA2082,458,354,112,31,2884
POA2083,204,148,56,12,907
POA2084,341,252,115,48,1918
POA2085,879,897,578,303,6135
POA2086,1006,758,389,111,6919
POA2087,937,664,534,197,6504
POA2088,2832,2278,1060,550,17816
POA2089,955,690,309,183,8456
POA2090,1304,1065,435,126,9383
POA2092,655,374,155,70,3864
POA2093,1806,1157,550,297,12866
POA2094,527,374,155,60,3671
POA2095,1238,933,425,247,10898
POA2096,1071,598,208,105,8884
POA2097,1267,830,442,264,8467
POA2099,2733,1729,942,383,21540
POA2100,1612,945,544,262,10871
POA2101,1647,1156,677,604,10910
POA2102,541,388,245,150,3968
POA2103,1020,768,481,246,5941
POA2104,374,435,266,203,2080
POA2105,287,201,75,18,1149
POA2106,1059,731,293,79,5300
POA2107,1772,1210,527,195,8166
POA2108,255,284,112,18,1074
POA2109,65,53,60,82,1808
POA2110,944,768,389,454,5733
POA2111,1190,805,359,160,8164
POA2112,2287,1364,694,424,18107
POA2113,1355,733,448,182,10497
POA2114,1695,936,426,134,14154
POA2115,674,398,182,96,5045
POA2116,434,218,107,41,3179
POA2117,1563,851,463,146,10841
POA2118,2017,1250,703,274,12918
POA2119,1282,894,531,278,6833
POA2120,1932,1286,653,210,11377
POA2121,2612,1443,789,326,16372
POA2122,2380,1447,782,494,17860
POA2123,0,0,0,0,0
POA2125,1951,1143,378,125,9198
POA2126,2043,1164,473,262,10564
POA2127,787,352,80,15,9116
POA2128,168,71,16,3,2969
POA2129,0,0,0,0,0
POA2130,518,280,105,73,4593
POA2131,1490,836,484,278,14160
POA2132,824,433,269,150,5612
POA2133,692,387,155,59,5290
POA2134,826,440,249,140,8864
POA2135,1669,990,566,305,14311
POA2136,530,287,126,64,3715
POA2137,2123,1361,592,237,14499
POA2138,1051,524,190,61,12173
POA2139,7,4,0,3,32
POA2140,653,286,144,38,9391
POA2141,1515,684,315,133,12666
POA2142,1016,532,229,74,12000
POA2143,488,221,126,53,3566
POA2144,1184,564,316,154,13982
POA2145,4122,2522,1255,559,38957
POA2146,1072,656,278,63,8415
POA2147,2502,1480,677,259,16909
POA2148,3323,1863,954,409,28248
POA2150,1133,584,240,111,19189
POA2151,1514,996,402,194,11466
POA2152,698,535,352,178,6095
POA2153,4287,3102,1329,499,29816
POA2154,3643,2449,1124,844,21548
POA2155,3422,1609,509,92,26926
POA2156,1320,935,470,156,6825
POA2157,337,226,74,25,1844
POA2158,780,584,256,103,4480
POA2159,496,354,180,101,2643
POA2160,1570,865,416,251,14449
POA2161,1258,625,342,192,11262
POA2162,883,483,299,147,6639
POA2163,467,261,164,127,3615
POA2164,1042,610,345,87,7155
POA2165,1707,1015,520,186,13388
POA2166,1679,1038,556,308,15026
POA2167,600,304,199,196,4818
POA2168,2034,930,509,103,14558
POA2170,5367,3153,1384,568,43709
POA2171,1508,580,164,30,14036
POA2172,226,95,29,3,1446
POA2173,811,294,87,15,6969
POA2174,78,31,12,3,1013
POA2175,116,66,28,6,722
POA2176,2835,1497,533,108,17291
POA2177,718,351,99,19,5119
POA2178,274,166,90,54,1893
POA2179,323,245,127,55,2682
POA2190,1038,607,358,187,9227
POA2191,326,214,110,38,2660
POA2192,578,319,206,65,5283
POA2193,1024,521,213,61,7794
POA2194,1047,462,258,105,10899
POA2195,905,448,225,126,10956
POA2196,1295,686,379,151,11935
POA2197,405,269,135,47,3236
POA2198,470,395,218,183,3719
POA2199,834,462,256,146,6586
POA2200,1833,1015,481,221,17103
POA2203,933,440,187,62,7992
POA2204,1434,726,380,199,14786
POA2205,733,361,178,94,10905
POA2206,1204,679,389,186,8983
POA2207,1756,1083,784,715,13549
POA2208,697,457,245,115,5513
POA2209,996,553,348,163,7169
POA2210,2101,1457,951,485,14263
