POA_CODE_2016,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
POA2000,17,197,13,58,26,22,0,8,4,340,32,65,10,38,16,9,0,14,9,179,367,549,109,538,363,295,8,231,41,2498,110,267,33,176,101,47,0,60,12,809,38,101,19,72,25,41,0,21,3,325,30,6,89,97,17,31,3,33,0,316,3,0,5,16,0,6,0,3,0,39,9,14,9,30,17,9,0,13,3,95,13,8,11,57,14,22,0,44,35,209,706,1475,315,1182,658,521,26,470,119,5477,58,127,38,40,35,19,0,27,7,354,141,458,80,74,41,42,8,69,18,934,155,324,134,50,35,40,20,87,14,863,43,115,45,3,11,7,4,20,0,256,8,12,11,7,0,7,0,6,0,62,38,367,19,81,37,30,3,14,11,587,43,88,15,45,21,11,0,24,7,259,870,1169,326,740,553,467,44,482,89,4738,234,584,78,236,170,72,13,110,32,1520,58,189,44,105,37,66,8,42,11,565
POA2006,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,3,3,0,3,3,0,0,0,0,15,0,3,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,11,17,0,16,8,3,0,3,0,54,3,13,0,7,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,7,3,4,0,3,3,0,0,0,0,13,4,11,0,9,3,0,0,0,0,28,0,8,0,0,0,0,0,0,0,12
POA2007,3,60,0,21,8,3,0,7,4,106,0,28,0,15,3,3,0,0,0,51,68,131,12,102,81,70,0,30,3,504,16,72,6,36,37,13,0,14,4,203,8,49,3,14,21,17,0,4,0,120,11,0,23,22,5,4,0,0,0,69,0,0,0,3,0,0,0,0,0,5,3,8,0,3,7,5,0,0,0,21,0,3,0,8,3,3,0,6,11,32,134,429,68,245,193,145,6,75,19,1314,10,54,13,10,12,14,4,11,8,130,32,126,21,14,9,13,3,9,5,236,33,79,36,27,19,13,17,24,0,243,11,31,17,0,3,9,5,6,0,81,3,3,3,3,7,0,0,3,0,22,4,84,3,26,13,5,0,5,4,139,6,44,0,20,7,3,0,5,0,79,151,253,52,132,134,105,17,87,8,956,48,129,19,56,57,22,0,21,3,348,19,95,15,26,30,27,5,14,3,231
POA2008,7,119,0,12,13,3,0,4,3,163,14,57,0,21,3,4,0,0,0,102,110,188,11,91,122,78,5,31,6,634,49,207,6,59,59,27,0,15,3,419,32,133,16,27,27,25,0,7,4,277,8,6,28,16,5,8,0,4,0,73,0,0,0,5,0,0,0,0,0,4,3,15,3,8,3,3,0,0,0,49,0,3,5,3,0,3,0,0,8,23,268,852,87,268,271,187,3,73,30,2044,28,114,10,18,18,22,0,4,3,220,34,130,19,7,12,9,3,11,8,241,52,150,64,17,16,16,12,30,3,365,20,94,31,6,9,5,0,4,0,170,7,8,3,9,4,7,0,0,0,35,9,184,3,19,19,12,3,10,3,261,20,79,3,19,10,5,0,3,0,139,216,342,48,134,199,141,19,70,16,1184,92,371,18,80,93,42,0,29,6,732,71,301,40,46,35,39,4,16,5,562
POA2009,26,152,9,37,19,18,0,8,0,259,25,66,0,14,21,3,0,3,4,134,300,368,15,120,217,90,0,47,18,1178,87,217,3,59,79,23,7,13,3,493,38,103,11,25,23,28,0,4,3,232,18,5,45,38,12,13,0,7,5,144,0,0,0,4,0,0,0,0,0,4,6,10,3,5,3,3,0,3,7,42,3,10,0,5,4,0,0,0,8,45,578,1087,115,331,427,197,8,109,50,2910,48,123,6,9,19,12,0,11,8,236,103,325,36,15,23,13,4,8,6,522,132,199,89,29,36,27,14,37,6,567,44,52,60,3,14,4,0,8,0,185,5,10,4,4,0,0,0,3,0,28,38,226,14,44,25,17,0,8,0,371,40,96,3,18,24,4,0,3,4,191,618,803,52,185,319,161,16,83,39,2276,159,431,26,101,110,37,11,26,19,926,56,163,24,34,39,39,4,8,3,375
POA2010,35,393,11,52,30,8,0,12,3,544,34,147,6,32,12,6,3,7,3,251,474,656,30,164,310,151,3,73,24,1886,193,741,17,110,172,69,0,19,13,1335,151,540,40,68,89,90,0,9,14,998,25,11,76,43,24,17,0,14,8,223,0,3,0,4,0,0,0,0,0,5,34,56,3,5,19,10,0,0,0,137,19,23,8,13,8,3,0,6,17,104,1045,2876,215,551,741,404,15,161,103,6107,99,249,21,29,46,20,3,14,4,486,119,358,41,24,36,28,12,31,8,645,150,330,157,37,56,38,26,64,9,873,80,331,104,14,28,19,5,21,3,617,14,35,14,4,7,4,0,5,0,83,69,762,26,88,46,23,0,13,3,1039,68,271,14,49,27,12,3,15,4,466,1199,1575,106,291,542,336,29,163,73,4312,450,1529,42,222,302,129,16,58,34,2775,274,1086,97,121,136,148,16,41,26,1943
POA2011,29,256,3,65,36,14,0,9,4,420,31,106,3,17,26,6,0,5,0,193,365,431,24,101,240,120,0,32,20,1327,175,624,6,85,139,41,0,19,12,1109,122,341,19,49,64,61,3,0,4,661,28,9,58,28,27,14,0,6,0,174,0,0,3,0,0,0,0,0,0,0,24,45,3,3,12,13,0,0,3,102,3,12,5,8,8,3,0,0,5,50,857,2048,163,392,577,303,8,84,59,4485,57,156,16,21,25,18,3,10,3,298,49,201,29,17,23,13,7,16,3,356,154,246,242,54,33,13,13,32,4,797,54,226,69,15,21,14,0,17,0,417,10,15,10,4,3,3,4,5,0,60,54,455,4,87,40,22,9,17,8,703,55,191,5,34,28,13,0,11,0,331,809,1017,72,170,384,264,18,74,50,2862,385,1192,38,150,210,78,6,32,30,2121,222,640,48,82,101,97,14,9,6,1221
POA2015,19,197,6,21,20,12,0,4,0,269,22,112,3,14,3,4,0,5,0,162,210,256,4,29,186,67,5,13,16,787,85,270,13,57,94,21,0,11,6,553,63,192,16,20,56,50,0,0,3,398,11,14,30,17,19,9,3,4,3,107,0,0,0,0,0,0,0,0,0,4,17,20,0,3,10,0,0,0,3,58,3,4,3,6,3,3,4,0,5,30,490,1235,99,182,411,177,13,39,37,2691,44,139,11,12,21,13,0,3,0,247,58,158,23,3,15,7,7,5,5,278,77,184,115,10,36,9,6,16,6,457,29,104,62,11,11,4,4,14,0,243,4,25,6,0,8,3,0,3,0,52,27,273,6,39,21,16,0,4,3,386,28,163,6,16,6,5,0,7,0,237,429,469,33,56,284,140,18,23,19,1472,146,456,24,95,125,40,13,20,13,928,105,367,49,33,78,71,5,3,5,713
POA2016,16,208,5,25,13,8,0,0,0,276,25,102,4,13,9,0,0,4,0,155,148,244,10,47,121,62,0,18,10,661,88,316,6,61,102,18,4,9,7,623,71,274,15,23,53,36,0,6,0,481,16,4,34,21,11,6,0,3,0,99,3,0,0,3,0,0,0,0,0,10,14,28,3,3,11,0,0,3,0,59,4,9,3,4,9,4,0,0,4,37,417,1371,110,236,356,158,9,61,23,2742,29,127,11,8,25,12,0,4,3,224,49,160,22,4,15,5,0,10,3,268,51,182,81,24,33,10,16,37,0,442,41,134,62,5,3,9,0,18,3,273,11,21,13,7,4,0,0,4,5,67,31,343,6,51,15,11,3,4,0,464,46,166,10,29,16,3,0,3,0,272,361,546,42,76,204,129,10,42,17,1421,170,615,19,109,170,59,12,29,19,1195,127,530,57,55,83,61,0,22,10,941
POA2017,29,291,13,42,29,8,3,3,7,416,27,122,4,38,19,6,0,3,7,226,368,632,30,100,394,177,3,42,27,1775,93,347,3,103,136,64,0,12,5,776,76,238,20,28,48,66,7,8,0,502,40,15,62,33,30,16,3,9,0,216,0,3,0,3,0,0,0,3,0,7,20,22,3,3,8,6,0,4,3,72,3,9,4,6,7,15,0,0,13,69,748,1942,185,398,741,399,22,112,70,4604,63,197,27,17,31,23,4,11,0,377,95,323,37,12,33,21,3,11,6,546,117,319,210,35,50,39,34,37,10,856,72,173,129,16,34,21,4,22,9,473,15,15,16,0,4,3,4,0,0,64,63,470,16,67,31,10,3,9,8,679,52,176,4,47,23,18,0,4,9,328,810,1226,76,179,588,362,31,82,50,3407,195,603,25,195,180,106,15,35,17,1373,146,476,61,56,70,87,11,25,9,944
