POA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
POA2000,72,13,322,164,35,52,10,70,8,735,6,3,20,21,0,8,3,31,3,98,27,37,17,35,16,9,3,22,4,164,35,22,57,77,14,24,9,85,70,395,1786,3498,1213,1670,1023,852,124,1093,277,11534
POA2006,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,4,16,48,3,20,4,3,0,5,0,105
POA2007,19,0,71,25,11,11,3,6,0,148,0,0,3,9,0,0,0,0,0,13,3,7,3,5,7,5,0,0,0,34,3,10,5,8,7,3,4,14,14,68,335,911,269,357,308,233,60,207,47,2724
POA2008,16,3,77,28,10,6,3,10,4,158,0,0,0,5,0,3,3,0,0,15,9,34,3,13,7,9,0,0,0,82,5,8,8,3,3,5,0,4,15,60,579,1824,337,405,434,330,55,201,61,4223
POA2009,51,13,159,70,12,21,0,15,9,348,3,0,0,3,0,0,0,3,0,16,15,27,8,15,6,6,0,6,9,86,11,21,12,13,7,5,3,10,24,108,1314,2495,489,549,639,346,59,232,113,6238
POA2010,90,35,276,86,43,33,3,23,8,601,0,4,0,4,0,6,0,5,0,24,66,98,18,14,30,24,9,7,3,274,38,56,13,27,14,7,3,16,47,224,2733,6716,929,1020,1322,825,117,472,232,14365
POA2011,70,12,206,73,36,20,4,16,0,447,3,0,3,3,0,0,0,0,0,7,46,97,11,13,23,20,0,5,6,226,16,39,18,20,11,9,0,8,21,136,1981,4494,761,739,934,587,77,260,141,9972
POA2015,39,14,78,28,21,17,3,5,3,213,0,0,0,3,0,0,0,0,0,3,30,42,3,9,10,0,5,0,4,112,14,14,9,6,7,8,3,3,21,78,1041,2404,408,329,647,329,73,117,75,5415
POA2016,42,15,104,39,14,17,3,11,0,247,3,0,0,3,3,3,0,0,0,16,24,46,9,6,11,6,4,6,0,116,7,26,17,10,15,8,3,3,20,107,986,2922,452,428,613,329,61,188,85,6052
POA2017,95,17,174,57,48,38,6,14,7,464,3,0,0,6,0,0,0,7,0,24,42,44,5,15,16,14,8,7,6,151,11,25,20,17,14,23,4,14,39,164,1781,4078,797,719,1127,770,131,275,163,9840
POA2018,33,6,108,41,26,19,7,24,5,275,0,0,4,3,0,3,0,0,0,12,9,26,7,5,14,8,12,8,4,95,5,16,19,10,9,12,12,16,29,131,784,1833,732,544,794,420,254,255,121,5727
POA2019,25,9,65,25,40,16,4,10,0,201,0,0,0,0,0,0,0,0,0,11,6,13,8,5,9,10,5,0,4,52,6,9,4,12,16,4,9,6,16,91,625,1081,557,393,577,263,132,167,57,3857
POA2020,42,13,113,40,23,28,14,30,3,308,0,0,0,3,0,0,0,6,0,14,20,12,3,14,8,3,3,8,3,76,8,14,9,16,15,15,10,13,22,123,894,1905,698,569,823,437,187,333,82,5933
POA2021,44,14,89,37,22,13,0,10,0,220,0,0,0,0,0,0,0,0,0,5,36,62,3,9,22,12,0,7,5,159,23,21,8,8,13,3,0,8,22,100,1604,3770,376,411,747,451,35,90,106,7592
POA2022,34,14,74,39,12,14,0,7,0,185,0,0,0,0,0,0,0,0,0,3,15,24,7,7,7,8,3,5,3,72,12,9,3,12,13,8,3,11,21,87,1031,2344,351,422,518,322,75,187,97,5337
POA2023,21,3,41,18,19,14,0,4,0,120,0,0,0,0,0,0,0,0,0,5,19,38,4,8,16,8,0,4,3,90,11,17,3,6,9,0,0,4,15,69,1010,2056,202,239,445,284,29,77,100,4438
POA2024,23,6,48,22,6,3,0,3,0,119,0,0,0,0,0,0,0,0,0,0,28,32,3,10,11,4,0,3,3,90,14,10,5,3,4,3,0,7,15,61,965,2158,323,270,480,235,32,88,87,4649
POA2025,11,0,32,10,12,7,0,3,0,79,0,0,0,0,0,0,0,0,0,3,10,22,3,3,7,7,0,0,0,58,11,12,0,3,3,3,0,0,0,33,709,1623,124,146,296,209,23,38,48,3218
