POA_CODE_2016,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
POA2000,0,3,5,0,0,0,3,0,0,18,0,3,9,3,5,11,3,0,0,33,3,31,100,45,32,24,0,0,0,232,0,0,15,6,8,3,0,0,0,38,3,40,117,75,35,19,7,3,0,300,3,9,59,41,36,21,3,5,0,175,7,119,242,94,31,27,7,0,0,529,72,569,1074,326,76,40,11,0,0,2157,0,24,79,48,28,29,12,3,0,218,0,19,89,49,21,18,3,0,0,193,0,43,395,230,127,54,25,4,0,875,0,10,80,38,19,19,16,3,0,187,3,64,545,266,123,96,43,9,4,1156,5,60,212,99,23,11,4,0,0,419,0,17,77,67,62,33,12,0,0,271,0,28,73,43,33,28,14,0,0,220,0,17,99,59,46,38,22,3,0,290,0,17,54,35,15,12,13,0,0,142,3,14,49,41,21,15,6,0,0,136,15,74,225,93,39,25,10,5,3,500
POA2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,0,0,0,0,15,8,27,0,0,0,0,0,0,0,35,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,13,3,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,3,44,53,3,3,0,8,0,0,0,112,3,5,0,0,0,0,0,0,0,7,4,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6
POA2007,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,4,26,9,3,0,0,0,0,46,0,0,3,0,3,0,0,0,0,7,0,12,37,15,13,6,0,0,0,79,0,12,15,7,11,4,0,0,0,49,9,45,80,23,5,0,3,0,0,172,17,100,210,50,14,6,3,0,0,409,0,14,24,16,12,11,3,0,0,83,0,13,33,34,17,0,0,0,0,98,0,15,75,40,15,5,0,0,0,150,0,3,15,3,3,0,0,0,0,34,0,30,137,56,21,8,3,0,0,253,0,8,47,18,11,8,0,0,0,89,0,5,20,22,16,8,6,0,0,68,3,15,53,22,13,12,6,0,0,125,0,3,27,12,3,9,3,0,0,54,3,9,20,14,9,3,0,0,0,54,0,3,19,8,9,3,0,0,0,44,3,24,51,22,9,5,0,0,0,113
POA2008,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,30,11,4,7,0,0,0,62,0,0,8,3,0,0,0,0,0,14,4,24,68,22,18,3,3,0,0,142,0,3,42,12,6,0,3,0,0,68,3,49,75,27,16,3,3,0,0,181,26,123,183,52,24,11,0,0,0,421,3,16,35,15,13,7,3,0,0,97,0,20,86,44,21,3,0,0,0,179,0,12,91,39,20,5,0,0,0,172,0,6,23,5,9,4,0,0,0,53,3,54,280,101,35,22,7,0,0,509,0,13,49,9,8,9,0,0,0,93,3,7,56,27,15,16,3,0,0,128,3,35,88,40,26,24,9,0,0,227,0,9,57,18,18,17,4,0,0,120,3,15,33,12,12,8,4,0,0,84,0,11,33,13,9,4,3,0,0,76,0,16,65,39,10,9,0,0,0,142
POA2009,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,6,0,0,0,7,3,5,32,24,14,20,7,5,0,116,0,3,9,11,6,3,0,0,0,33,4,21,109,37,28,13,3,0,0,222,0,6,34,33,13,16,6,0,0,115,7,20,66,47,24,25,11,0,0,195,16,111,310,98,36,21,3,0,0,599,4,12,49,35,35,24,10,0,0,163,0,24,107,60,37,15,0,0,0,249,0,24,251,183,76,29,8,0,0,575,0,7,32,26,16,7,9,0,0,89,6,39,320,211,89,60,30,5,0,764,0,16,55,37,15,12,6,0,0,145,0,9,55,46,38,27,4,0,0,175,0,8,38,42,28,22,10,0,0,151,0,0,33,35,22,18,22,3,0,136,0,7,61,37,24,15,9,0,0,155,0,5,32,28,15,10,4,0,0,83,0,22,88,51,13,17,8,0,0,198
POA2010,0,0,14,0,5,0,0,0,0,15,0,0,7,3,3,0,0,0,0,16,0,24,103,70,40,9,4,0,0,251,0,3,16,19,9,8,0,0,0,54,0,37,224,85,48,31,5,0,0,431,0,3,97,57,33,29,4,3,0,222,8,66,241,150,88,45,14,0,0,623,11,203,543,210,106,50,15,7,0,1135,0,15,114,93,74,45,7,0,0,348,0,30,261,165,103,45,7,0,0,617,0,53,442,333,157,56,9,0,0,1055,3,3,64,55,35,17,10,3,0,191,4,99,961,482,264,136,38,10,0,1999,0,20,192,110,58,22,9,0,0,419,0,24,176,132,105,63,8,4,0,515,5,17,161,137,106,85,28,0,0,547,0,25,207,160,141,84,26,5,0,655,0,19,114,84,50,39,4,0,0,318,0,20,96,79,49,28,4,0,0,272,3,35,171,108,71,24,12,0,0,433
POA2011,0,3,0,3,3,3,3,0,0,17,0,0,3,8,3,3,0,0,0,15,3,3,58,37,28,25,7,0,0,161,0,0,12,0,7,0,0,0,0,27,7,29,146,57,36,31,10,0,0,310,0,11,60,38,23,14,7,3,0,150,9,39,148,76,45,41,14,0,0,373,7,68,280,119,67,39,16,6,0,599,0,13,55,54,43,31,5,0,0,203,0,3,122,110,49,27,12,4,0,326,0,16,323,191,90,43,13,3,0,689,0,11,50,41,25,24,17,3,0,171,0,46,565,315,172,112,57,9,0,1281,3,15,98,66,36,24,12,0,0,249,31,168,399,156,120,65,7,0,0,950,0,14,79,76,83,64,28,4,0,352,0,8,94,84,73,64,25,3,3,357,0,5,64,61,34,27,10,5,0,202,0,4,65,36,22,13,6,3,0,154,3,25,106,65,48,28,14,0,0,282
POA2015,0,0,3,3,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,5,0,7,37,30,20,13,0,0,0,105,0,4,8,9,3,4,0,0,0,28,0,24,110,61,39,12,3,0,0,246,0,8,38,34,17,10,3,0,0,110,5,25,88,54,23,12,5,0,0,214,6,38,106,60,32,19,3,0,0,263,0,3,47,41,53,37,4,0,0,187,0,11,92,61,35,5,4,0,0,209,3,27,117,120,34,21,0,0,0,323,0,0,35,17,12,3,3,0,0,71,0,36,286,156,79,38,7,3,0,611,0,6,52,37,20,16,5,0,0,131,0,8,90,51,53,27,0,0,0,239,0,15,77,47,42,36,3,0,0,220,0,7,51,40,24,23,3,0,0,153,3,5,42,20,21,11,0,0,0,101,0,3,38,21,18,6,0,0,0,89,0,12,69,33,26,5,3,0,0,156
POA2016,0,0,3,0,4,0,0,0,0,7,0,0,8,0,0,0,0,0,0,8,0,5,55,24,23,13,0,0,0,123,0,3,8,6,0,3,0,0,0,17,0,19,104,46,34,24,3,0,0,226,3,3,48,19,25,10,3,0,0,110,3,33,109,57,28,16,0,0,0,251,8,56,169,66,37,16,5,0,0,360,0,8,44,41,52,34,4,0,0,194,0,20,118,75,40,11,3,0,0,269,0,15,144,100,48,13,3,0,0,329,0,5,25,12,14,11,4,0,0,68,0,56,377,212,104,46,16,0,0,803,0,10,75,47,23,10,0,0,0,165,0,7,86,56,60,40,4,0,0,253,0,24,78,71,62,42,11,0,0,287,0,13,88,54,73,31,11,0,0,269,4,15,50,34,23,18,8,0,0,153,4,11,37,25,22,24,9,0,0,124,0,11,76,42,32,11,11,0,0,184
POA2017,0,0,7,4,3,0,0,0,0,16,0,0,15,5,0,0,0,0,0,21,0,9,94,47,31,11,4,0,0,199,0,3,23,8,7,0,0,0,0,43,0,48,320,87,39,10,4,0,0,519,0,20,94,65,31,19,0,0,0,226,14,76,245,104,47,22,6,0,0,517,32,112,303,104,49,20,3,0,0,623,3,18,146,77,68,26,6,0,0,335,0,7,154,100,37,11,0,3,0,311,0,36,333,161,41,14,3,0,0,582,0,23,111,46,23,6,4,0,0,215,4,53,607,271,88,34,17,3,0,1074,0,15,130,57,40,13,8,0,0,269,3,51,198,84,46,23,6,3,0,404,4,20,155,100,45,31,4,0,0,366,0,12,128,89,53,15,18,0,0,319,0,25,71,40,22,10,3,0,0,176,0,14,87,41,28,10,5,0,0,175,5,21,167,66,36,19,7,3,0,321
