POA_CODE_2016,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
POA2000,11,95,225,79,34,18,5,3,0,465,135,1149,3478,1243,552,337,118,19,3,7038,0,3,11,4,6,0,3,0,0,25,0,5,15,8,6,11,3,0,0,46,6,54,172,80,39,32,5,0,0,396,0,0,22,13,9,3,0,0,0,51,3,53,154,92,49,25,10,3,0,384,4,18,118,65,51,25,7,5,0,300,21,286,490,176,77,46,21,0,0,1117,150,1054,2110,554,123,62,17,3,0,4086,0,35,116,70,39,43,8,3,0,316,4,31,146,80,35,26,7,0,0,328,5,66,667,372,187,77,35,6,3,1410,3,27,147,61,47,32,21,3,0,338,6,137,944,404,203,150,60,17,4,1916,12,119,467,203,55,32,12,0,0,896,0,20,127,99,94,52,16,0,3,418,6,63,190,98,67,62,26,3,0,514,9,92,480,223,106,92,43,9,0,1047,0,28,105,56,26,24,15,0,0,244
POA2006,9,3,3,0,0,0,0,0,0,16,159,162,13,3,8,3,0,0,0,351,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,4,26,35,0,0,0,0,0,0,0,58,40,62,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,7,4,5,0,0,0,0,0,0,0,7,5,9,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,17,6,0,0,0,0,0,0,0,28,4,3,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,5,100,97,8,9,6,4,0,0,0,218,10,18,4,0,3,0,0,0,0,33,6,11,0,0,0,0,0,0,0,19
POA2007,4,25,45,18,8,3,0,0,0,106,83,350,804,312,126,72,14,0,0,1760,0,7,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,5,0,11,41,22,10,10,0,0,0,84,0,0,4,3,3,0,0,0,0,14,0,17,46,19,8,6,0,0,0,104,0,14,40,22,11,4,0,0,0,95,30,113,150,46,22,5,5,0,0,371,55,204,374,94,29,18,5,0,0,784,0,20,37,20,16,14,3,0,0,110,0,17,57,45,15,0,3,0,0,144,0,22,131,57,26,5,0,0,0,255,0,4,38,11,9,3,0,0,0,68,6,61,248,100,35,14,9,0,0,468,3,24,93,38,17,6,0,0,0,187,0,6,33,33,24,12,6,0,0,107,6,40,103,47,31,23,4,0,0,248,0,26,122,51,17,20,9,0,0,239,5,16,33,31,10,7,0,0,0,108
POA2008,7,28,56,8,9,4,0,0,0,115,97,549,1234,372,202,103,23,0,0,2584,0,0,6,3,0,0,0,0,0,13,0,0,3,0,0,0,0,0,0,3,3,16,57,17,8,11,3,0,0,109,0,0,14,6,3,0,0,0,0,22,4,27,81,30,21,10,3,0,0,176,3,9,70,17,12,3,3,0,0,119,34,147,186,45,27,3,3,0,0,448,69,271,367,98,35,18,3,0,0,858,6,22,53,25,14,9,3,0,0,129,0,35,151,70,33,16,3,0,0,298,0,26,164,71,30,12,0,0,0,297,0,20,42,6,15,10,3,0,0,99,3,130,515,148,62,32,12,0,0,907,4,31,94,26,11,11,0,0,0,187,3,16,103,48,37,28,3,0,0,234,15,76,211,90,59,52,13,0,0,513,0,42,199,62,43,19,4,0,0,372,8,32,64,22,22,12,4,0,0,166
POA2009,0,26,67,28,18,12,3,0,0,157,47,377,1473,813,445,357,106,8,3,3627,0,6,3,0,0,4,0,0,0,15,0,0,3,0,0,3,0,0,0,9,3,12,56,43,31,21,14,5,0,186,0,4,19,14,6,5,0,0,0,47,4,27,138,60,32,25,6,0,0,287,0,12,74,61,28,27,6,0,0,203,15,61,183,92,53,51,19,4,0,484,36,227,535,161,51,40,5,0,0,1056,4,19,82,50,52,30,14,0,0,247,0,49,171,93,64,30,8,0,0,416,3,47,443,340,141,57,15,0,0,1038,0,8,63,46,36,14,8,3,0,177,7,76,569,347,141,113,55,6,3,1316,8,40,147,78,40,24,12,0,0,348,0,19,106,82,63,39,9,0,0,318,3,21,123,84,74,69,22,4,0,397,0,25,134,112,75,76,36,3,0,464,0,24,109,58,41,27,11,0,0,266
POA2010,4,29,148,61,31,24,10,3,0,301,64,714,3464,1504,793,493,126,12,3,7183,0,0,11,0,4,0,3,0,0,27,0,0,11,5,3,0,0,0,0,19,3,39,163,106,58,10,4,0,0,392,0,5,23,18,12,6,0,0,0,66,0,40,274,98,63,32,9,0,0,517,0,18,182,101,49,33,10,3,0,400,22,156,537,255,133,75,26,0,0,1197,40,359,936,324,155,80,23,4,0,1922,3,28,163,126,93,56,11,0,0,472,4,62,481,255,152,74,16,0,0,1047,0,87,711,502,236,73,11,0,0,1626,3,13,126,75,51,27,16,8,0,319,12,232,1744,763,414,202,58,10,0,3424,3,67,364,172,93,44,16,3,0,755,0,41,305,212,160,104,14,4,0,838,3,54,383,242,188,174,46,3,0,1094,3,90,551,360,243,174,58,5,0,1481,4,39,203,124,82,60,15,0,0,522
POA2011,0,16,80,50,23,11,10,0,0,192,62,425,2278,1135,694,562,194,25,6,5383,0,5,3,5,3,3,3,0,0,24,0,0,10,8,0,3,0,0,0,26,6,11,101,57,40,34,5,0,0,253,0,0,21,10,8,0,0,0,0,46,7,31,181,76,47,34,9,0,0,380,0,17,113,68,37,28,6,3,3,268,14,95,301,155,80,85,28,0,0,765,17,158,489,189,108,71,19,6,0,1055,0,20,93,70,62,38,12,3,0,304,0,10,250,177,91,57,18,3,0,606,3,38,514,320,158,68,24,3,3,1140,5,14,94,66,45,42,23,6,0,303,3,112,1119,521,293,205,81,15,0,2347,5,36,206,118,60,46,18,3,0,485,50,232,558,242,176,120,27,0,0,1400,4,30,208,160,160,132,55,3,0,755,0,36,283,195,149,160,65,14,3,900,3,20,124,102,59,51,16,5,0,389
POA2015,3,13,60,27,16,7,6,0,0,127,39,278,1382,783,440,219,56,5,0,3207,0,0,4,3,0,0,0,0,0,8,0,0,10,0,0,0,0,0,0,9,3,12,74,58,28,18,0,3,0,194,0,5,14,14,3,5,0,0,0,37,0,30,133,81,45,12,3,0,0,295,0,17,75,55,29,12,3,0,0,192,16,72,195,101,55,23,12,0,0,468,19,78,168,91,46,32,3,0,0,441,0,10,73,76,63,52,4,0,0,277,0,19,179,114,54,15,3,0,0,384,6,41,243,234,67,27,0,0,0,615,0,9,65,34,15,3,3,0,0,129,7,76,537,269,137,53,11,3,0,1099,0,22,128,59,39,23,6,0,0,278,3,18,175,124,97,56,3,0,0,470,0,33,218,112,89,73,11,0,0,543,4,31,216,110,92,66,16,0,0,541,6,18,74,39,34,18,0,0,0,197
POA2016,0,11,56,19,13,6,0,0,0,115,45,365,1557,637,393,243,53,6,0,3295,0,0,3,0,4,0,0,0,0,8,0,0,10,5,0,0,0,0,0,16,0,17,80,43,36,20,0,0,0,192,0,3,13,6,0,3,0,0,0,31,0,19,131,49,44,24,3,0,0,264,3,15,82,33,28,15,3,0,0,185,8,82,231,102,55,25,6,0,0,511,27,126,283,99,62,30,8,0,0,623,0,20,68,50,59,49,5,0,0,252,4,49,218,115,63,31,3,0,0,477,0,31,236,135,70,26,3,0,0,506,0,5,52,24,26,10,4,0,0,121,0,119,689,335,172,74,18,0,0,1407,0,26,146,75,44,20,3,0,0,315,0,12,181,107,95,68,14,0,0,484,7,49,197,148,112,83,25,4,0,615,0,46,309,125,117,67,21,3,0,687,4,28,105,59,38,24,8,0,0,271
POA2017,6,31,135,37,20,14,7,0,0,251,65,717,2964,1082,453,274,58,6,0,5626,0,0,12,4,5,0,0,0,0,19,0,0,20,7,0,0,0,0,0,36,0,24,154,72,42,22,4,3,0,328,0,4,32,11,5,3,0,0,0,58,0,64,388,110,47,16,9,0,0,639,0,31,174,94,44,23,3,0,0,376,26,197,504,190,73,48,13,0,0,1047,62,265,541,160,87,29,6,0,0,1152,3,36,231,118,91,34,12,0,0,510,3,28,292,144,45,16,0,3,0,527,0,81,644,295,79,19,4,0,0,1122,0,38,202,75,34,15,9,0,0,371,6,142,1124,435,139,58,25,3,0,1930,0,42,281,99,60,36,8,0,0,531,3,74,344,150,83,44,7,3,0,710,5,77,357,187,87,66,11,3,0,799,0,61,451,237,118,76,37,3,0,976,3,36,122,64,40,15,5,0,0,287
