POA_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
POA2000,11,29,83,30,51,61,24,35,5,325,42,73,294,41,81,131,33,62,205,965,371,1231,4301,912,2065,2878,1016,2019,331,15127
POA2006,0,11,0,3,4,0,0,0,3,24,0,8,0,0,0,0,0,0,6,22,46,307,72,19,20,15,6,20,84,580
POA2007,3,14,16,10,18,16,6,5,3,91,4,23,37,16,25,39,5,19,47,215,108,472,765,258,630,720,274,381,89,3694
POA2008,3,16,23,17,33,25,10,22,0,150,7,25,27,14,30,40,14,37,56,253,147,648,744,388,919,1073,543,781,104,5347
POA2009,4,18,32,14,34,49,15,16,3,184,8,21,60,29,40,67,16,64,53,363,246,475,964,489,1336,1886,797,1494,119,7799
POA2010,11,36,45,53,102,80,48,74,4,451,22,48,77,34,76,159,67,129,114,730,379,954,1648,1137,2604,4029,2145,4161,233,17296
POA2011,13,30,26,34,55,57,38,60,3,320,12,33,29,37,54,107,31,91,73,475,299,653,881,767,1772,2813,1621,3258,170,12233
POA2015,7,18,20,21,57,37,25,26,5,203,7,17,23,19,44,60,29,50,38,285,198,328,441,478,1219,1658,908,1350,91,6680
POA2016,9,29,27,27,53,48,14,26,3,235,7,19,38,11,45,62,21,44,52,295,178,478,707,542,1322,1707,956,1499,115,7492
POA2017,5,25,35,31,87,72,39,60,0,353,22,30,51,32,78,123,39,80,110,573,343,829,1118,733,2269,3110,1476,2278,184,12344
POA2018,7,34,23,33,63,54,34,46,4,298,9,23,30,25,66,74,32,44,110,410,222,740,814,687,1711,1849,738,1112,185,8064
POA2019,9,21,22,23,45,54,20,36,4,245,4,16,11,12,35,65,16,36,54,249,171,433,497,558,1060,1299,625,893,113,5644
POA2020,3,25,29,22,62,81,14,25,3,265,8,22,39,27,66,71,19,35,74,366,257,606,870,638,1771,2020,789,1093,170,8209
POA2021,3,32,29,31,33,34,24,45,0,228,4,31,27,20,28,81,34,68,52,346,257,687,678,700,1033,1942,1127,2546,109,9077
POA2022,7,22,32,23,33,37,18,26,0,198,0,24,38,16,37,70,24,38,56,288,169,575,737,538,958,1517,723,1254,94,6566
POA2023,0,17,11,20,31,27,9,21,0,145,7,31,28,20,26,46,17,41,56,281,130,567,524,480,626,1125,531,1369,98,5466
POA2024,3,19,23,18,26,30,12,24,0,162,7,25,16,12,17,54,17,47,39,225,178,487,521,546,700,1253,610,1334,76,5699
POA2025,3,16,7,7,12,24,9,18,0,100,8,16,16,15,11,38,12,49,30,190,83,352,333,305,372,765,444,1105,58,3822
POA2026,18,81,61,58,99,101,42,66,17,539,31,92,95,72,92,208,74,193,160,1024,477,1422,1802,1528,2354,4284,2197,4311,312,18701
POA2027,0,12,10,20,17,23,14,16,0,104,8,26,21,16,22,45,14,49,25,224,126,376,358,365,397,849,420,1169,53,4105
POA2028,0,7,13,12,5,17,3,10,0,61,0,9,14,6,17,32,18,31,15,140,71,220,235,208,267,539,291,686,27,2540
POA2029,3,30,19,11,26,28,13,20,0,154,7,22,23,20,26,53,16,39,48,241,116,534,518,486,564,1075,519,1144,93,5052
POA2030,3,42,26,22,24,40,13,30,0,194,16,55,36,35,28,61,19,70,38,358,181,853,695,669,660,1253,584,1586,96,6581
POA2031,17,76,69,73,88,101,50,79,3,551,20,71,45,53,73,161,52,117,102,696,568,1631,1705,1653,2976,4415,2177,3844,233,19196
POA2032,6,25,30,21,36,35,26,36,3,216,3,29,37,22,38,55,20,27,66,297,174,856,837,668,1142,1391,562,862,129,6610
POA2033,0,13,18,12,26,35,24,29,4,147,3,21,20,11,24,44,12,25,30,194,156,596,631,454,943,1276,537,974,93,5665
POA2034,7,36,31,45,54,54,22,46,0,304,12,35,38,31,58,100,39,77,78,461,351,931,1018,961,1605,2711,1370,2415,155,11511
POA2035,9,67,75,50,91,95,53,88,8,537,17,64,62,58,92,131,38,95,140,703,475,1624,1720,1591,2738,3645,1520,2637,246,16200
POA2036,12,56,51,65,90,104,38,82,7,510,16,49,53,43,85,121,33,63,129,587,434,1353,1305,1350,2435,2992,1147,1944,268,13242
POA2037,8,33,26,26,38,37,20,44,3,239,4,28,29,25,39,79,47,52,54,366,247,897,860,741,1349,1753,968,1591,128,8529
POA2038,3,24,13,12,23,24,18,21,0,138,0,12,13,15,20,55,14,35,33,207,169,457,487,503,736,1138,647,1157,65,5363
POA2039,0,22,16,9,20,29,22,35,0,149,7,19,13,16,14,38,13,47,25,185,149,355,372,404,636,1110,656,1334,49,5059
POA2040,8,40,43,50,68,77,36,47,4,374,8,32,38,32,47,77,30,71,86,418,375,978,1014,1091,1828,2565,1339,2425,179,11786
POA2041,9,19,18,27,31,30,19,39,5,192,6,37,31,27,23,68,35,65,28,317,270,747,738,714,979,1695,1068,2076,84,8373
POA2042,9,78,26,48,83,87,44,50,15,431,12,40,37,36,66,104,36,68,105,507,323,969,956,1050,2145,2659,1448,2070,221,11840
POA2043,5,15,17,13,34,30,8,21,3,140,6,7,9,10,26,51,22,28,27,187,165,283,348,394,979,1363,773,1064,63,5418
POA2044,3,16,13,27,30,41,11,21,3,171,4,13,9,8,24,36,21,27,36,179,130,329,450,433,907,1018,507,687,75,4532
POA2045,3,16,13,11,19,14,9,21,0,99,4,16,12,11,12,17,11,12,29,117,84,341,351,311,404,587,313,602,55,3050
POA2046,11,64,65,50,81,91,45,89,4,506,13,53,63,33,79,117,44,84,79,565,436,1265,1361,1164,2112,2968,1460,2658,190,13606
POA2047,0,19,21,18,31,38,21,30,0,182,3,13,17,7,28,38,17,35,36,202,183,539,602,536,856,1407,727,1396,82,6329
POA2048,5,7,10,18,27,33,13,15,0,137,3,14,9,16,14,25,15,25,30,153,138,379,402,437,800,1045,553,841,66,4655
POA2049,8,20,18,25,42,41,27,30,3,219,6,19,21,18,33,47,16,41,39,227,193,515,573,589,1129,1423,764,1123,81,6391
POA2050,7,12,11,14,30,30,14,25,0,147,4,12,20,11,29,50,13,29,32,196,150,446,428,352,829,1271,698,1070,74,5323
POA2052,0,5,0,0,0,0,0,0,3,14,4,9,0,0,0,0,0,0,14,27,54,402,166,49,44,40,20,17,121,913
POA2060,3,22,21,19,32,34,20,26,3,183,9,29,27,14,36,60,27,77,61,332,210,626,668,523,1221,2056,1057,1908,108,8370
POA2061,0,8,8,3,9,7,12,17,0,64,7,17,11,9,16,23,13,30,11,144,113,251,245,260,457,774,447,874,30,3454
POA2062,3,19,11,12,19,33,17,20,4,134,3,13,14,16,16,28,12,29,18,130,131,316,316,316,524,927,522,924,37,4021
POA2063,7,9,7,3,10,10,7,8,0,54,0,14,11,7,10,17,10,25,15,113,67,375,317,284,268,517,272,761,37,2888
POA2064,3,17,14,18,23,22,13,19,3,124,5,15,20,6,31,43,8,27,26,186,147,431,470,415,881,1295,554,798,62,5058
POA2065,11,55,42,50,86,68,42,77,6,439,13,60,47,39,72,164,48,107,107,657,542,1270,1355,1290,2726,4592,2284,3681,214,17952
POA2066,11,65,54,46,89,86,47,91,5,490,16,68,53,37,104,152,55,110,100,696,485,1559,1554,1425,2512,3752,1838,3435,206,16761
POA2067,3,45,57,36,73,69,31,46,5,369,16,53,73,42,93,147,44,79,126,663,288,1307,1308,1013,2274,3129,1125,1691,213,12355
POA2068,0,42,31,20,32,42,30,36,7,237,8,34,24,24,25,68,26,63,50,320,226,932,855,755,886,1632,806,1851,102,8036
POA2069,6,29,28,13,17,36,13,43,3,185,10,32,31,27,22,64,9,53,48,292,172,881,799,619,817,1312,587,1441,106,6742
POA2070,4,34,23,17,15,21,12,20,0,154,6,30,24,20,35,42,16,38,33,247,157,853,684,566,743,1264,615,1296,72,6258
POA2071,0,25,21,17,24,25,16,16,5,155,8,28,15,20,31,68,10,44,61,291,134,821,609,521,868,1304,570,1190,102,6121
POA2072,4,14,11,7,10,26,9,8,0,90,3,20,20,12,16,45,9,14,29,171,97,478,358,310,512,817,325,617,53,3564
POA2073,0,35,26,22,22,26,16,31,0,186,8,33,26,24,34,75,20,74,53,342,209,1084,808,746,913,1633,757,1634,104,7892
POA2074,9,44,48,25,29,54,27,45,0,283,9,49,27,31,36,80,33,74,63,401,294,1404,1101,930,1160,2002,972,2075,109,10038
POA2075,6,59,45,31,26,64,20,58,0,316,12,50,35,30,38,89,25,56,50,383,223,1321,1047,881,1171,2001,901,1900,111,9562
POA2076,3,57,32,47,47,64,33,61,4,349,11,55,45,23,54,93,27,62,56,422,356,1514,1226,1052,1467,2396,1145,2112,141,11408
POA2077,19,78,77,57,132,121,75,75,8,642,25,84,69,58,141,172,44,73,135,802,560,1865,1990,1833,4065,4618,1725,2088,284,19032
POA2079,3,21,22,13,27,39,17,23,0,157,6,19,17,17,20,49,10,22,16,163,108,450,437,419,628,848,388,560,37,3873
POA2080,0,3,4,7,11,11,9,8,0,53,0,4,3,3,4,3,0,3,6,32,21,108,103,85,152,189,83,130,10,876
POA2081,4,15,7,11,16,13,17,21,0,103,0,11,9,7,13,23,8,15,25,114,92,336,324,299,451,617,269,443,44,2872
POA2082,3,17,14,8,21,21,7,10,0,108,0,9,0,5,23,23,12,8,20,99,87,338,339,275,455,603,283,388,33,2792
POA2083,0,0,0,3,4,11,8,8,0,27,0,3,3,6,3,6,0,11,3,40,29,94,67,102,115,171,59,135,8,771
POA2084,3,15,11,7,12,18,7,15,0,90,0,11,10,6,3,15,6,27,12,101,49,272,200,210,214,341,134,343,28,1784
POA2085,5,31,30,37,40,52,25,21,4,253,14,27,23,15,24,41,26,46,50,251,153,740,618,582,639,1071,530,950,86,5367
POA2086,4,48,22,35,32,44,26,46,6,267,9,32,24,20,32,55,19,51,42,290,194,857,754,711,977,1317,674,1138,82,6709
POA2087,10,50,33,18,34,36,26,51,3,254,5,29,23,25,24,54,18,36,38,256,148,854,646,622,755,1154,578,1042,82,5887
POA2088,20,62,39,40,50,47,31,71,8,368,26,65,45,49,48,128,40,131,76,618,393,1580,1363,1179,1513,2759,1481,3542,188,13999
POA2089,4,24,20,18,33,26,18,30,3,179,9,19,28,27,28,76,25,57,48,309,173,489,550,506,993,1708,970,1721,87,7194
POA2090,0,19,16,20,29,41,25,34,0,172,7,31,16,23,26,67,24,58,43,298,254,607,720,597,1058,1799,950,1798,92,7888
POA2092,0,19,11,12,16,21,9,15,0,97,0,19,12,10,12,35,5,32,23,149,87,465,385,345,328,671,322,799,54,3457
POA2093,8,64,54,37,37,54,27,52,6,330,13,55,38,38,49,102,41,83,56,470,367,1325,1355,1142,1412,2307,1127,2381,151,11563
POA2094,0,12,16,8,13,19,10,9,0,96,0,16,13,14,18,28,16,34,19,162,94,289,330,303,371,728,405,735,51,3304
POA2095,0,36,33,29,36,40,31,34,3,236,14,36,41,23,49,106,29,64,62,428,263,716,811,701,1133,2165,1125,1939,124,8978
POA2096,5,43,33,30,35,47,26,51,0,273,7,29,26,38,31,81,28,62,47,349,274,767,771,762,1075,1864,989,1674,98,8272
POA2097,15,37,29,27,44,73,35,47,3,298,10,35,40,26,45,78,29,45,51,353,233,942,899,827,1191,1658,823,1458,111,8140
POA2099,24,117,95,81,136,176,101,104,0,830,28,93,87,93,189,209,80,152,179,1110,629,2153,2329,2052,3875,4443,2120,3262,323,21198
POA2100,14,60,42,51,76,84,40,57,3,432,12,54,48,35,88,110,27,80,82,537,318,1248,1140,1244,1752,2072,1020,1808,182,10777
POA2101,14,42,40,60,67,97,33,86,6,452,25,45,30,38,45,116,42,83,68,485,305,1119,1021,1043,1346,2056,1030,1756,157,9834
POA2102,4,22,10,14,32,24,15,18,0,149,11,16,14,18,25,30,17,15,21,168,112,452,405,420,569,779,376,609,49,3758
POA2103,0,37,15,39,28,35,26,36,4,217,5,33,27,22,36,55,18,51,43,290,156,685,633,594,673,1000,492,952,89,5279
POA2104,4,11,9,10,4,14,8,5,0,63,3,16,6,5,4,18,10,12,9,79,41,232,171,163,155,261,104,293,26,1439
POA2105,0,5,3,0,3,7,0,4,0,21,0,3,3,0,6,8,5,12,6,49,25,148,108,99,95,158,69,178,15,889
POA2106,6,28,17,27,37,29,17,29,0,183,4,31,19,24,22,54,22,33,24,227,140,680,585,539,590,946,438,951,64,4936
POA2107,7,46,25,32,41,36,20,41,3,250,13,49,50,45,41,73,17,63,68,411,221,1078,948,860,730,1393,651,1356,129,7354
POA2108,0,0,0,5,0,6,0,4,0,14,0,10,6,0,0,12,3,7,8,49,18,130,103,96,49,133,46,172,18,760
POA2109,3,4,10,0,4,3,4,7,5,37,6,8,3,0,8,6,3,3,7,50,76,214,163,67,217,252,101,82,73,1242
POA2110,0,24,26,17,17,24,11,25,0,139,4,18,17,10,25,40,14,35,34,195,151,556,458,427,465,875,382,1085,63,4460
