POA_CODE_2016,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
POA2000,9,3,3,0,5,0,0,5,0,25,19,18,0,3,9,0,3,0,0,46,71,69,66,24,33,18,16,85,7,396,14,21,0,0,4,0,3,3,0,51,94,61,91,4,34,4,3,76,11,384,104,75,11,4,35,36,10,16,0,300,169,90,50,33,53,598,12,102,11,1117,441,39,1086,1438,121,223,17,698,33,4086,62,51,9,31,49,17,78,19,6,316,69,180,22,4,33,13,0,6,7,328,290,728,18,4,299,31,0,6,31,1410,70,78,9,4,45,134,0,3,3,338,269,1328,52,8,171,44,0,9,31,1916,81,99,16,58,54,25,6,551,11,896,84,136,34,50,97,3,6,3,8,418,101,263,14,43,74,6,0,14,8,514,42,376,11,474,95,10,7,26,13,1047,37,64,23,77,11,16,0,25,3,244,51,50,69,77,26,15,0,29,4,325,115,109,107,134,68,41,22,139,230,965
POA2006,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,3,0,0,3,58,0,0,0,58,3,8,0,81,0,4,0,11,0,110,0,0,0,0,0,0,0,3,0,7,0,4,0,0,0,0,0,3,0,7,0,3,0,3,7,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,14,3,0,12,0,0,0,0,28,0,3,0,3,0,0,0,0,0,12,0,3,0,0,3,0,0,0,0,5,10,93,0,90,14,3,0,7,0,218,0,3,3,11,10,0,0,0,0,33,0,3,0,6,0,3,0,3,0,19,0,4,0,15,0,5,0,0,0,24,0,0,0,8,3,0,0,0,8,22
POA2007,0,0,0,0,0,0,0,3,0,7,0,4,0,0,0,0,0,0,0,5,12,22,17,5,9,9,5,4,5,84,3,7,0,0,0,0,0,0,0,14,23,14,31,0,4,0,0,25,3,104,25,23,9,0,13,18,5,3,0,95,39,23,18,12,19,232,7,19,0,371,68,12,173,313,29,46,18,122,3,784,11,16,3,6,11,8,45,9,0,110,15,85,13,0,10,4,0,3,0,144,44,118,4,0,68,12,0,0,0,255,11,13,0,0,10,20,0,6,0,68,66,303,14,0,60,9,4,4,4,468,16,22,3,25,21,5,7,91,0,187,18,37,4,11,23,0,3,4,0,107,16,162,7,21,36,0,0,0,0,248,17,91,11,86,22,3,0,4,3,239,7,30,9,34,13,3,0,12,4,108,8,15,26,24,13,3,0,5,0,91,15,33,29,24,17,23,3,20,50,215
POA2008,0,6,0,0,0,3,0,3,0,13,0,4,0,0,3,0,0,0,0,3,17,23,16,5,9,18,6,12,3,109,5,5,3,0,9,3,3,0,0,22,29,31,60,0,15,3,3,36,0,176,39,33,3,0,15,19,5,0,0,119,56,39,12,9,19,276,5,23,3,448,94,13,148,382,45,61,11,102,4,858,22,18,0,20,15,6,29,11,0,129,48,187,12,3,22,19,0,0,4,298,56,129,3,0,94,10,0,0,3,297,15,28,0,0,19,29,0,3,0,99,88,651,40,3,82,24,0,3,14,907,24,36,3,18,24,4,0,61,0,187,43,86,10,27,58,0,3,4,0,234,50,360,11,23,57,3,0,0,3,513,25,208,9,73,45,3,0,7,0,372,23,58,6,32,11,12,0,17,0,166,20,28,34,25,20,6,3,9,0,150,27,63,25,11,25,28,10,18,50,253
POA2009,6,0,0,0,0,0,0,4,0,15,8,7,0,0,0,0,0,0,0,9,82,34,30,9,17,8,4,7,0,186,19,17,5,0,0,4,0,0,0,47,74,45,88,0,32,4,5,35,3,287,79,51,8,0,22,30,4,4,6,203,129,57,16,12,28,217,7,14,4,484,197,13,248,391,36,38,8,113,6,1056,60,33,3,15,53,20,54,12,0,247,84,246,26,0,28,16,0,0,9,416,221,508,13,6,237,32,0,3,20,1038,39,47,3,0,22,59,0,0,4,177,220,838,50,6,138,39,0,3,15,1316,56,80,4,27,42,10,0,110,12,348,71,98,32,38,63,3,4,6,4,318,61,246,5,36,42,8,0,3,0,397,46,241,19,92,56,4,0,5,0,464,40,48,16,110,24,15,3,16,3,266,34,23,42,50,20,7,0,13,5,184,85,63,17,33,27,14,14,34,67,363
POA2010,9,7,0,0,3,0,0,6,0,27,9,6,4,0,3,0,0,0,0,19,101,130,55,7,33,32,6,19,0,392,14,24,3,0,13,3,3,3,0,66,119,99,163,0,38,7,13,68,7,517,137,133,11,0,36,58,12,8,0,400,339,136,46,17,76,514,16,31,9,1197,381,54,360,703,62,67,25,258,16,1922,101,104,11,68,66,32,74,14,6,472,207,622,60,8,82,59,3,4,7,1047,375,772,7,3,376,52,0,3,31,1626,60,75,12,0,32,122,3,4,9,319,543,2382,82,4,285,77,0,11,37,3424,141,222,27,70,68,24,3,199,4,755,158,323,31,67,217,4,10,11,10,838,152,743,13,75,95,5,0,10,6,1094,111,873,32,249,153,9,10,33,7,1481,93,248,30,79,33,13,3,12,5,522,75,70,157,87,31,12,4,14,3,451,149,203,51,31,74,48,18,39,123,730
POA2011,4,3,7,0,0,0,0,7,0,24,9,6,0,0,3,0,3,0,0,26,66,67,42,6,23,24,0,13,3,253,14,18,3,0,8,3,0,0,0,46,76,62,110,0,21,5,15,88,3,380,97,79,10,3,30,44,9,3,0,268,216,86,24,12,43,357,11,12,3,765,253,32,172,386,68,31,7,97,8,1055,60,54,8,57,47,22,42,11,4,304,135,367,24,3,42,26,0,0,10,606,249,570,4,3,253,44,0,0,21,1140,72,62,3,3,43,104,0,4,3,303,359,1605,63,16,215,59,0,9,25,2347,114,159,10,42,46,21,4,87,6,485,269,339,282,306,160,6,5,14,21,1400,97,522,17,49,62,5,0,3,4,755,67,496,12,156,116,11,5,24,8,900,72,192,23,47,33,13,0,10,3,389,48,55,96,68,27,12,3,14,5,320,101,123,30,15,45,53,7,22,69,475
POA2015,0,5,0,0,0,0,0,0,0,8,4,7,0,0,3,0,0,0,0,9,54,48,25,3,23,20,5,16,0,194,3,18,5,0,4,0,3,3,0,37,46,53,118,0,22,7,9,39,3,295,50,69,4,0,31,29,13,5,0,192,113,49,29,12,45,204,15,10,6,468,121,14,76,138,26,20,7,41,3,441,53,47,10,31,45,25,54,11,3,277,67,217,19,0,43,18,0,3,3,384,131,264,10,3,175,26,0,0,8,615,30,30,8,0,14,44,0,0,0,129,180,711,54,8,103,31,3,3,12,1099,54,71,7,35,37,22,0,48,0,278,93,152,27,68,113,3,8,13,9,470,66,367,15,28,61,5,0,3,7,543,55,310,5,86,64,3,0,6,3,541,40,76,13,29,14,0,0,8,3,197,33,41,47,40,25,3,0,14,0,203,45,69,24,10,33,31,4,16,55,285
POA2016,0,7,0,0,0,0,0,0,0,8,3,5,0,0,3,0,0,0,0,16,31,57,49,6,18,10,3,18,0,192,4,11,3,0,4,0,0,0,0,31,62,31,92,0,17,5,3,57,3,264,46,66,11,0,30,23,8,3,0,185,109,61,25,0,28,235,8,27,3,511,135,21,118,259,16,22,9,46,3,623,31,34,5,31,50,17,60,14,6,252,61,294,37,0,53,33,0,0,0,477,88,263,3,0,129,10,0,0,11,506,25,31,9,5,19,37,0,3,3,121,211,982,49,4,116,37,0,0,9,1407,53,79,13,42,33,9,3,75,5,315,64,207,14,53,116,3,8,14,13,484,87,397,14,40,60,3,0,7,0,615,48,416,20,116,69,7,0,15,0,687,40,103,23,42,30,10,3,16,3,271,29,44,70,49,13,7,0,9,0,235,46,68,32,19,34,16,5,25,54,295
POA2017,5,4,0,0,0,0,0,0,0,19,5,9,6,0,4,0,0,0,0,36,80,102,51,5,23,30,13,16,0,328,12,25,5,4,13,0,3,0,0,58,100,101,217,3,69,19,14,109,5,639,97,120,19,3,38,57,26,7,6,376,267,119,41,5,63,504,19,19,5,1047,256,42,193,417,48,70,13,105,9,1152,90,88,15,59,105,38,103,6,13,510,91,295,39,0,46,43,3,3,0,527,222,521,3,3,299,37,4,3,19,1122,52,79,5,3,45,160,0,21,3,371,260,1292,83,8,192,58,0,4,24,1930,122,165,17,50,53,16,8,96,8,531,113,212,76,142,132,4,10,11,13,710,93,529,15,55,85,0,3,10,4,799,92,522,25,186,117,3,3,16,9,976,68,94,18,61,24,13,0,10,3,287,53,53,106,65,37,10,0,20,0,353,109,128,39,27,71,42,15,33,105,573
