POA_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
POA2000,4,14,26,78,11,69,0,55,12,266,87,231,291,611,187,346,33,440,71,2291,745,1861,888,1322,522,511,81,946,193,7066,574,830,333,334,284,168,45,279,74,2906,396,425,86,81,145,86,27,49,30,1321,260,305,54,41,106,39,8,29,18,867,90,136,15,8,42,21,3,5,11,326,23,23,0,3,9,0,0,0,5,65,3,3,0,0,0,0,0,0,3,12,2180,3821,1687,2476,1305,1233,195,1813,413,15127
POA2006,6,44,8,103,28,42,3,9,5,247,3,70,3,117,33,35,0,16,0,284,3,13,0,3,0,0,0,0,0,22,0,7,0,3,0,0,0,0,0,7,4,3,0,0,4,0,0,0,0,11,3,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,141,11,225,63,81,4,29,6,580
POA2007,3,11,5,40,11,39,0,8,6,122,28,104,57,164,80,132,19,70,15,663,181,533,186,255,169,145,37,159,26,1684,118,228,72,74,81,37,15,50,15,690,55,98,27,25,35,25,10,23,6,307,33,46,15,11,25,8,14,16,7,167,3,17,10,6,8,5,6,3,0,52,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,420,1034,366,572,393,393,98,337,80,3694
POA2008,0,16,17,45,13,46,3,26,4,157,41,222,75,203,124,206,18,70,17,963,298,1105,212,277,271,186,36,130,43,2560,161,363,67,74,87,50,9,53,12,871,106,182,35,25,55,26,6,24,6,474,65,96,16,9,25,15,3,15,12,251,7,31,5,6,4,0,0,5,0,67,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,691,2007,426,633,583,522,77,318,93,5347
POA2009,0,4,8,25,8,24,0,14,3,85,44,183,69,167,82,70,6,77,24,724,511,1154,307,393,320,206,30,176,51,3160,477,683,142,124,222,103,15,54,33,1847,275,310,59,67,132,49,18,38,19,971,218,239,36,38,80,53,11,23,17,711,65,110,10,7,29,16,7,4,12,267,12,9,0,0,8,0,0,0,0,30,0,4,0,0,0,0,0,0,0,8,1605,2697,632,822,879,521,101,383,160,7799
POA2010,3,10,5,28,6,29,0,18,3,109,110,393,133,261,188,154,28,108,27,1415,1218,3551,512,645,696,537,70,322,113,7672,1030,1646,251,279,383,204,40,133,75,4041,568,923,158,153,267,132,31,75,49,2346,257,542,66,82,172,80,23,74,12,1313,67,154,10,17,44,17,8,23,3,353,9,19,3,3,5,7,0,0,3,47,3,0,0,0,0,0,0,0,0,3,3269,7244,1142,1463,1763,1161,203,757,296,17296
POA2011,8,8,14,38,7,24,6,14,0,121,69,187,163,205,97,105,10,72,7,917,852,2183,424,489,440,335,52,152,76,5002,710,1111,155,186,278,160,15,63,41,2720,401,665,115,126,203,95,21,42,30,1690,242,495,64,85,180,88,12,65,26,1252,89,193,10,23,71,33,3,14,12,450,7,35,4,3,8,7,3,0,0,74,4,5,0,3,5,0,0,0,0,17,2380,4888,946,1155,1282,841,125,426,192,12233
POA2015,3,3,6,18,4,24,0,8,3,66,49,155,47,86,87,67,5,22,5,527,456,1242,228,184,325,197,29,64,48,2777,426,664,100,83,226,95,25,47,27,1693,214,350,72,67,133,61,29,39,17,988,88,170,38,41,79,27,26,37,8,516,12,31,8,0,25,16,3,4,0,99,0,4,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1245,2620,496,484,880,490,121,229,112,6680
POA2016,3,3,4,27,7,10,0,6,0,65,30,198,49,144,93,95,13,42,9,682,425,1570,237,248,328,213,31,115,60,3240,351,692,136,93,176,63,20,59,23,1619,230,426,83,91,132,52,25,52,14,1112,112,222,47,47,81,38,19,43,6,620,18,57,10,12,18,14,8,10,3,142,0,4,0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1170,3181,564,666,847,497,118,340,112,7492
POA2017,3,4,7,30,13,46,6,22,3,142,104,283,113,247,168,227,29,91,21,1286,1012,2637,542,497,730,526,92,213,108,6356,627,1035,174,172,317,169,39,64,41,2641,306,338,96,82,163,78,39,43,26,1178,106,149,33,55,76,49,32,42,17,562,24,47,7,11,20,15,13,8,5,162,0,8,0,3,3,0,4,0,0,22,0,0,0,0,0,0,0,0,0,0,2199,4500,979,1100,1478,1112,249,495,231,12344
