POA_CODE_2016,M_Mng_0,M_Mng_1_15,M_Mng_16_24,M_Mng_25_34,M_Mng_35_39,M_Mng_40,M_Mng_41_48,M_Mng_49over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_15,M_Pro_16_24,M_Pro_25_34,M_Pro_35_39,M_Pro_40,M_Pro_41_48,M_Pro_49over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_15,M_TTW_16_24,M_TTW_25_34,M_TTW_35_39,M_TTW_40,M_TTW_41_48,M_TTW_49over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_15,M_CPS_16_24,M_CPS_25_34,M_CPS_35_39,M_CPS_40,M_CPS_41_48,M_CPS_49over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_15,M_CA_16_24,M_CA_25_34,M_CA_35_39,M_CA_40,M_CA_41_48,M_CA_49over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_15,M_Sal_16_24,M_Sal_25_34,M_Sal_35_39,M_Sal_40,M_Sal_41_48,M_Sal_49over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_15,M_MOD_16_24,M_MOD_25_34,M_MOD_35_39,M_MOD_40,M_MOD_41_48,M_MOD_49over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_15,M_Lab_16_24,M_Lab_25_34,M_Lab_35_39,M_Lab_40,M_Lab_41_48,M_Lab_49over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_15,F_Mng_16_24,F_Mng_25_34,F_Mng_35_39,F_Mng_40,F_Mng_41_48,F_Mng_49over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_15,F_Pro_16_24,F_Pro_25_34,F_Pro_35_39,F_Pro_40,F_Pro_41_48,F_Pro_49over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_15,F_TTW_16_24,F_TTW_25_34,F_TTW_35_39,F_TTW_40,F_TTW_41_48,F_TTW_49over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_15,F_CPS_16_24,F_CPS_25_34,F_CPS_35_39,F_CPS_40,F_CPS_41_48,F_CPS_49over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_15,F_CA_16_24,F_CA_25_34,F_CA_35_39,F_CA_40,F_CA_41_48,F_CA_49over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_15,F_Sal_16_24,F_Sal_25_34,F_Sal_35_39,F_Sal_40,F_Sal_41_48,F_Sal_49over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_15,F_MOD_16_24,F_MOD_25_34,F_MOD_35_39,F_MOD_40,F_MOD_41_48,F_MOD_49over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_15,F_Lab_16_24,F_Lab_25_34,F_Lab_35_39,F_Lab_40,F_Lab_41_48,F_Lab_49over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_15,F_ID_NS_16_24,F_ID_NS_25_34,F_ID_NS_35_39,F_ID_NS_40,F_ID_NS_41_48,F_ID_NS_49over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_15,F_Tot_16_24,F_Tot_25_34,F_Tot_35_39,F_Tot_40,F_Tot_41_48,F_Tot_49over,F_Tot_hours_NS,F_Tot_Tot
POA2000,38,35,83,52,176,359,159,429,18,1342,47,91,82,107,362,748,220,564,19,2241,14,70,534,69,158,207,82,135,22,1292,13,96,334,68,82,79,32,50,12,763,20,36,46,21,140,100,38,71,5,475,12,51,154,45,60,88,20,54,5,487,0,21,50,16,24,17,11,25,4,160,15,110,702,55,67,50,34,38,22,1098,10,14,46,16,23,34,11,23,58,231,173,524,2017,440,1087,1676,608,1378,174,8088,19,40,61,40,129,238,113,184,11,837,58,94,130,89,299,487,150,255,16,1581,11,33,164,31,55,51,21,22,12,398,33,274,944,133,113,100,29,50,37,1719,26,71,144,71,214,181,58,65,3,831,27,102,309,59,89,89,18,32,18,744,3,3,13,0,7,7,0,0,0,34,14,85,465,46,45,33,8,11,12,713,3,13,41,5,17,17,5,16,55,175,196,706,2286,468,975,1198,410,642,161,7038
POA2006,0,3,0,0,0,0,0,3,0,9,5,39,7,3,3,3,3,6,8,77,0,3,3,0,0,0,0,0,0,11,11,39,15,6,0,0,0,0,6,69,4,10,5,0,3,0,0,0,0,24,5,7,7,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,9,4,0,0,0,0,0,3,10,0,4,0,0,0,0,0,0,0,3,25,117,33,8,9,5,5,12,22,227,0,0,0,0,0,3,0,3,0,15,4,33,5,3,4,3,0,3,13,62,0,0,0,0,0,0,0,0,0,0,5,93,13,8,7,3,0,0,24,154,7,21,6,0,3,0,0,0,10,46,7,29,9,3,0,0,0,0,5,56,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,3,3,25,191,37,18,14,9,0,8,59,351
POA2007,3,10,14,6,41,80,29,59,3,253,11,43,40,20,119,172,71,84,3,560,0,22,52,13,47,65,23,41,3,276,7,33,63,16,19,22,7,12,0,187,5,10,20,6,36,45,7,21,0,150,7,34,35,21,28,13,9,12,5,159,0,16,19,6,15,16,4,10,3,90,4,36,110,14,28,13,3,16,6,225,4,3,4,0,3,7,0,10,21,44,38,207,357,109,333,428,158,252,50,1934,7,7,11,18,34,39,22,20,3,162,13,42,43,39,91,133,45,53,3,468,3,12,29,6,13,19,0,14,3,91,10,84,147,38,42,28,14,17,5,388,14,36,41,9,67,47,25,10,3,246,16,64,60,26,32,17,4,11,10,238,0,0,4,0,0,0,0,0,3,15,0,23,60,9,11,3,0,3,4,114,0,7,3,0,0,7,0,6,13,34,63,261,401,145,299,291,117,129,42,1760
POA2008,6,6,14,10,52,104,58,132,3,374,14,74,57,55,181,327,140,239,8,1088,9,17,47,24,61,68,30,58,6,310,9,48,63,21,37,17,10,10,9,225,7,25,20,10,69,46,26,18,3,221,3,44,33,21,42,34,16,22,3,218,3,12,21,3,14,3,4,8,5,71,7,37,66,15,24,19,18,10,11,204,0,3,3,0,4,13,4,4,17,50,56,258,318,164,476,620,307,498,59,2762,16,7,20,17,59,71,56,63,0,314,33,82,60,64,175,206,120,163,14,918,0,6,25,19,20,22,7,12,3,111,12,106,132,50,39,25,11,19,6,403,9,44,51,25,100,83,27,16,5,362,14,101,82,25,32,24,10,10,3,309,0,0,0,0,3,0,0,0,0,10,3,25,46,9,10,10,0,5,0,112,0,11,3,3,3,6,3,3,14,50,85,385,422,222,443,448,242,284,47,2584
POA2009,25,18,35,27,131,239,116,324,4,918,34,58,65,64,241,498,172,396,15,1532,17,17,77,14,82,114,50,99,5,483,7,30,99,27,69,48,20,40,5,346,3,8,16,13,66,79,31,64,0,278,5,14,39,14,39,58,18,35,3,218,0,3,26,5,16,12,13,8,0,87,0,24,83,21,31,16,11,17,6,214,3,6,6,8,12,17,7,25,14,92,90,181,446,202,677,1083,440,1003,60,4174,32,19,34,38,123,158,96,176,10,689,52,70,90,68,189,333,153,189,8,1165,0,17,28,23,26,22,11,18,3,148,24,59,157,49,61,70,29,20,15,475,24,47,61,42,159,163,51,54,4,600,14,42,58,43,64,37,20,25,0,300,0,0,5,3,0,3,0,0,0,12,3,27,72,19,18,9,3,5,7,173,3,3,6,0,11,7,5,7,16,69,155,286,511,293,661,804,360,492,63,3627
POA2010,29,38,45,60,253,492,315,810,7,2037,73,130,169,192,567,1170,623,1269,33,4215,22,29,127,79,124,202,105,189,9,879,25,73,140,95,118,93,62,72,14,700,10,35,50,42,205,210,87,143,6,794,16,37,64,48,126,129,65,121,3,609,0,15,35,23,33,30,12,29,5,175,14,82,193,48,70,51,21,34,12,522,3,9,10,11,13,45,19,30,39,175,182,443,832,587,1508,2428,1307,2697,130,10115,35,25,39,57,173,302,205,390,5,1224,89,151,183,178,427,774,414,802,17,3029,3,20,51,30,41,39,28,43,6,266,9,146,256,98,81,77,47,37,15,763,34,69,82,80,241,258,81,120,6,974,21,63,94,58,100,112,51,53,7,547,0,0,3,0,5,9,3,3,0,26,3,37,107,34,24,16,6,9,12,234,0,6,10,9,14,18,9,18,39,122,201,507,822,553,1097,1598,840,1464,109,7183
POA2011,21,25,26,45,151,332,214,551,12,1383,46,110,87,115,343,701,363,896,26,2691,20,27,45,23,83,169,108,248,11,745,9,30,77,63,62,98,83,163,14,594,7,23,24,28,131,115,64,86,3,495,11,20,41,33,83,100,50,80,0,422,0,7,19,10,16,23,9,19,4,110,6,28,76,19,37,49,28,38,6,293,4,3,3,9,17,28,9,16,24,117,134,284,404,355,924,1620,924,2100,109,6847,24,19,31,40,137,254,170,322,3,1000,69,123,126,151,310,521,309,575,14,2192,3,16,18,16,32,35,26,43,4,194,16,73,114,64,85,73,48,68,8,562,25,62,65,61,182,210,86,82,9,794,15,44,57,55,79,65,42,54,0,413,0,0,3,0,3,4,0,3,0,13,0,28,57,11,14,13,0,4,0,138,4,7,7,5,5,13,12,10,18,74,168,371,476,409,843,1193,703,1160,60,5383
POA2015,14,3,18,17,95,177,116,242,0,683,25,37,46,51,207,396,197,333,12,1314,10,16,24,20,56,109,60,82,5,376,15,20,31,34,38,41,30,27,3,237,8,4,12,17,88,95,39,58,5,328,3,17,9,18,50,50,33,42,4,234,3,8,10,9,22,14,12,21,3,105,0,18,24,13,27,34,8,23,0,151,0,0,0,0,8,10,3,8,17,53,79,127,170,180,594,921,498,841,55,3468,12,13,17,37,100,128,103,144,3,565,63,71,84,108,222,313,189,246,6,1311,4,10,6,6,25,33,16,15,0,121,6,30,43,40,53,40,21,22,0,245,14,28,51,60,158,142,57,49,3,558,7,34,28,26,49,49,17,31,3,256,0,0,3,4,5,4,0,0,0,19,0,18,22,16,9,10,3,3,0,81,6,3,3,3,4,16,3,6,16,58,117,201,266,301,631,730,412,513,34,3207
POA2016,12,11,20,17,83,180,124,243,3,695,34,62,76,79,291,474,257,428,21,1709,6,19,59,34,74,87,59,92,16,435,11,36,44,56,52,52,30,27,3,313,12,17,25,19,108,92,35,56,0,363,3,18,35,25,48,46,26,42,3,261,0,9,22,8,14,23,8,18,0,96,8,37,75,24,28,35,21,18,5,245,0,4,3,3,10,14,7,8,37,82,82,208,355,266,707,989,571,931,78,4198,15,10,16,29,75,120,83,123,4,478,36,87,95,84,273,384,209,300,5,1468,6,13,15,15,25,16,8,32,0,132,6,64,87,51,52,41,23,26,15,358,17,38,55,42,124,111,39,48,3,480,8,29,45,29,42,31,17,28,0,236,0,3,4,0,5,0,0,4,0,20,0,23,34,16,10,9,3,0,0,89,0,0,3,3,5,3,7,3,10,32,94,261,349,279,615,714,386,560,37,3295
POA2017,24,18,28,26,221,326,212,461,8,1310,52,74,100,85,399,779,329,578,17,2408,15,36,58,32,114,203,119,183,8,763,22,63,78,53,81,86,52,63,3,510,12,26,40,21,145,139,52,77,3,513,4,52,72,45,102,124,62,81,10,543,5,19,32,33,36,35,16,31,0,211,14,45,78,24,40,56,23,34,5,320,4,6,7,4,23,26,0,24,31,128,142,350,484,323,1155,1770,874,1516,96,6712,34,22,29,37,182,225,140,221,8,888,65,106,133,127,401,651,258,337,18,2091,4,24,35,20,43,33,35,29,3,219,20,101,163,79,80,67,30,40,10,585,39,53,81,72,285,255,97,71,9,967,19,113,113,44,101,81,43,38,8,571,0,4,7,10,7,4,3,0,0,34,9,37,64,24,15,19,0,15,0,181,8,4,4,4,12,15,5,9,34,99,201,477,632,412,1116,1344,611,760,89,5626
